 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb,model.000.15.pdb,model.000.16.pdb,model.000.17.pdb,model.000.18.pdb,model.000.19.pdb,model.000.20.pdb,model.000.21.pdb,model.000.22.pdb,model.000.23.pdb,model.000.24.pdb,model.000.25.pdb,model.000.26.pdb,model.000.27.pdb,model.000.28.pdb,model.000.29.pdb
model.000.00.pdb,0.000,0.000,0.000,0.000,0.000,0.172,0.286,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.049,0.000,0.119,0.000,0.000,0.000,0.463,0.000,0.000,0.211,0.069,0.015,0.000,0.000,0.280
model.000.01.pdb,0.054,0.014,0.241,0.000,0.040,0.286,0.155,0.436,0.000,0.000,0.000,0.094,0.000,0.000,0.192,0.439,0.327,0.356,0.314,0.000,0.034,0.078,0.231,0.000,0.085,0.295,0.000,0.000,0.000,0.000
model.000.02.pdb,0.014,0.062,0.040,0.000,0.000,0.762,0.696,0.081,0.000,0.000,0.000,0.030,0.000,0.000,0.014,0.522,0.081,0.286,0.068,0.039,0.014,0.375,0.056,0.000,0.154,0.619,0.000,0.000,0.000,0.111
model.000.03.pdb,0.067,0.000,0.385,0.000,0.163,0.172,0.059,0.743,0.000,0.000,0.000,0.235,0.000,0.000,0.314,0.255,0.396,0.320,0.412,0.000,0.032,0.053,0.353,0.000,0.113,0.148,0.000,0.000,0.000,0.000
model.000.04.pdb,0.373,0.089,0.560,0.000,0.312,0.138,0.083,0.457,0.000,0.000,0.071,0.438,0.000,0.110,0.553,0.250,0.778,0.125,0.625,0.159,0.224,0.000,0.562,0.000,0.000,0.172,0.000,0.000,0.135,0.000
model.000.05.pdb,0.418,0.146,0.623,0.000,0.365,0.093,0.049,0.389,0.000,0.000,0.137,0.540,0.027,0.156,0.588,0.164,0.725,0.081,0.593,0.205,0.295,0.000,0.596,0.026,0.000,0.118,0.000,0.012,0.179,0.000
model.000.06.pdb,0.000,0.000,0.121,0.000,0.054,0.094,0.042,0.260,0.000,0.000,0.000,0.048,0.000,0.000,0.131,0.100,0.134,0.447,0.156,0.000,0.000,0.216,0.092,0.000,0.449,0.049,0.000,0.000,0.000,0.200
model.000.07.pdb,0.000,0.000,0.000,0.000,0.000,0.340,0.426,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.157,0.000,0.245,0.000,0.000,0.000,0.719,0.000,0.000,0.280,0.188,0.000,0.000,0.000,0.283
model.000.08.pdb,0.390,0.690,0.111,0.141,0.154,0.024,0.084,0.026,0.221,0.224,0.475,0.174,0.295,0.576,0.149,0.065,0.136,0.000,0.098,0.736,0.537,0.000,0.087,0.355,0.000,0.081,0.037,0.279,0.548,0.000
model.000.09.pdb,0.000,0.000,0.000,0.182,0.000,0.000,0.000,0.000,0.117,0.119,0.044,0.000,0.086,0.055,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.033,0.000,0.062,0.224,0.000,0.417,0.092,0.039,0.269
model.000.10.pdb,0.000,0.000,0.038,0.000,0.031,0.083,0.065,0.092,0.000,0.000,0.000,0.014,0.000,0.000,0.027,0.028,0.024,0.267,0.038,0.000,0.000,0.273,0.013,0.000,0.681,0.029,0.041,0.000,0.000,0.574
model.000.11.pdb,0.370,0.111,0.577,0.000,0.288,0.114,0.065,0.392,0.000,0.000,0.082,0.460,0.014,0.118,0.510,0.194,0.826,0.118,0.708,0.167,0.230,0.000,0.580,0.013,0.000,0.143,0.000,0.013,0.143,0.000
model.000.12.pdb,0.255,0.037,0.750,0.046,0.512,0.090,0.013,0.535,0.014,0.000,0.072,0.545,0.015,0.111,0.674,0.150,0.580,0.127,0.571,0.097,0.167,0.000,0.721,0.029,0.014,0.063,0.014,0.000,0.122,0.000
model.000.13.pdb,0.073,0.014,0.314,0.000,0.106,0.212,0.098,0.514,0.000,0.000,0.000,0.160,0.000,0.000,0.265,0.341,0.408,0.326,0.396,0.000,0.034,0.058,0.306,0.000,0.085,0.213,0.000,0.000,0.000,0.000
model.000.14.pdb,0.271,0.319,0.122,0.423,0.193,0.000,0.000,0.014,0.434,0.389,0.509,0.156,0.532,0.593,0.147,0.000,0.062,0.000,0.064,0.393,0.357,0.000,0.111,0.638,0.000,0.000,0.242,0.455,0.679,0.000
model.000.15.pdb,0.000,0.000,0.027,0.000,0.000,0.200,0.169,0.140,0.000,0.000,0.000,0.000,0.000,0.000,0.029,0.153,0.054,0.556,0.070,0.000,0.000,0.391,0.000,0.000,0.553,0.138,0.000,0.000,0.000,0.308
model.000.16.pdb,0.255,0.232,0.116,0.581,0.192,0.000,0.000,0.000,0.346,0.278,0.396,0.153,0.347,0.509,0.143,0.000,0.053,0.000,0.055,0.274,0.228,0.000,0.104,0.392,0.000,0.000,0.365,0.321,0.407,0.000
model.000.17.pdb,0.298,0.343,0.093,0.377,0.155,0.000,0.000,0.000,0.531,0.542,0.549,0.141,0.543,0.604,0.116,0.000,0.063,0.000,0.051,0.424,0.389,0.000,0.082,0.617,0.000,0.000,0.188,0.580,0.725,0.000
model.000.18.pdb,0.389,0.422,0.122,0.370,0.193,0.000,0.000,0.014,0.310,0.271,0.538,0.175,0.412,0.686,0.164,0.000,0.090,0.000,0.064,0.518,0.520,0.000,0.111,0.481,0.000,0.000,0.203,0.333,0.679,0.000
model.000.19.pdb,0.000,0.000,0.000,0.000,0.000,0.094,0.156,0.000,0.015,0.000,0.000,0.000,0.000,0.000,0.000,0.015,0.000,0.097,0.000,0.000,0.000,0.348,0.000,0.000,0.246,0.016,0.079,0.029,0.000,0.404
model.000.20.pdb,0.000,0.000,0.000,0.000,0.000,0.255,0.333,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.091,0.000,0.240,0.000,0.000,0.000,0.750,0.000,0.000,0.327,0.115,0.000,0.000,0.000,0.333
model.000.21.pdb,0.051,0.000,0.228,0.000,0.038,0.294,0.148,0.475,0.000,0.000,0.000,0.089,0.000,0.000,0.182,0.409,0.286,0.488,0.321,0.000,0.033,0.115,0.218,0.000,0.136,0.277,0.000,0.000,0.000,0.000
model.000.22.pdb,0.351,0.409,0.133,0.333,0.186,0.000,0.000,0.014,0.444,0.426,0.577,0.188,0.542,0.725,0.176,0.000,0.101,0.000,0.076,0.500,0.444,0.000,0.108,0.580,0.000,0.000,0.179,0.491,0.717,0.000
model.000.23.pdb,0.104,0.062,0.220,0.000,0.022,0.213,0.151,0.429,0.000,0.000,0.000,0.106,0.000,0.000,0.191,0.432,0.370,0.196,0.356,0.050,0.080,0.000,0.208,0.000,0.000,0.308,0.000,0.000,0.000,0.000
model.000.24.pdb,0.591,0.433,0.200,0.113,0.189,0.000,0.040,0.063,0.183,0.129,0.442,0.278,0.241,0.446,0.217,0.061,0.212,0.000,0.164,0.569,0.690,0.000,0.154,0.286,0.000,0.062,0.043,0.190,0.556,0.000
model.000.25.pdb,0.269,0.367,0.104,0.250,0.180,0.000,0.000,0.016,0.489,0.500,0.511,0.140,0.575,0.571,0.150,0.000,0.070,0.000,0.057,0.462,0.396,0.000,0.092,0.619,0.000,0.000,0.097,0.511,0.633,0.000
model.000.26.pdb,0.158,0.302,0.014,0.413,0.054,0.000,0.000,0.000,0.634,0.571,0.449,0.032,0.658,0.426,0.030,0.000,0.000,0.000,0.000,0.288,0.264,0.000,0.000,0.744,0.000,0.000,0.236,0.578,0.569,0.000
model.000.27.pdb,0.167,0.365,0.040,0.353,0.086,0.000,0.000,0.000,0.614,0.667,0.500,0.062,0.634,0.500,0.058,0.000,0.013,0.000,0.013,0.356,0.268,0.000,0.027,0.714,0.000,0.000,0.200,0.667,0.527,0.000
model.000.28.pdb,0.373,0.117,0.560,0.000,0.312,0.138,0.083,0.426,0.000,0.000,0.087,0.468,0.000,0.125,0.553,0.228,0.702,0.125,0.625,0.176,0.246,0.000,0.531,0.000,0.000,0.172,0.000,0.000,0.135,0.000
model.000.29.pdb,0.113,0.027,0.218,0.000,0.061,0.260,0.155,0.436,0.000,0.000,0.000,0.137,0.000,0.000,0.170,0.439,0.353,0.271,0.340,0.030,0.071,0.058,0.255,0.000,0.085,0.326,0.000,0.000,0.000,0.000
