 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb,model.000.15.pdb,model.000.16.pdb,model.000.17.pdb,model.000.18.pdb,model.000.19.pdb,model.000.20.pdb,model.000.21.pdb,model.000.22.pdb,model.000.23.pdb,model.000.24.pdb,model.000.25.pdb,model.000.26.pdb,model.000.27.pdb,model.000.28.pdb,model.000.29.pdb
model.000.00.pdb,0.000,0.127,0.217,0.000,0.104,0.000,0.000,0.017,0.000,0.000,0.000,0.000,0.016,0.000,0.120,0.429,0.000,0.169,0.038,0.154,0.000,0.000,0.186,0.000,0.100,0.042,0.352,0.000,0.000,0.000
model.000.01.pdb,0.254,0.045,0.000,0.294,0.000,0.000,0.136,0.163,0.512,0.121,0.730,0.122,0.125,0.522,0.000,0.000,0.164,0.000,0.000,0.000,0.046,0.000,0.000,0.015,0.000,0.058,0.000,0.326,0.537,0.000
model.000.02.pdb,0.254,0.000,0.041,0.392,0.100,0.044,0.241,0.107,0.591,0.429,0.353,0.304,0.062,0.415,0.176,0.000,0.583,0.000,0.197,0.099,0.123,0.027,0.000,0.000,0.127,0.322,0.000,0.320,0.478,0.027
model.000.03.pdb,0.210,0.094,0.000,0.241,0.000,0.000,0.133,0.160,0.435,0.119,0.585,0.120,0.123,0.449,0.000,0.000,0.180,0.000,0.000,0.000,0.045,0.000,0.000,0.000,0.000,0.057,0.000,0.319,0.455,0.000
model.000.04.pdb,0.458,0.000,0.000,0.676,0.030,0.075,0.432,0.019,0.419,0.326,0.333,0.417,0.135,0.535,0.083,0.000,0.264,0.000,0.086,0.030,0.208,0.065,0.000,0.051,0.060,0.150,0.000,0.213,0.513,0.063
model.000.05.pdb,0.000,0.029,0.451,0.000,0.172,0.000,0.000,0.132,0.000,0.000,0.000,0.000,0.000,0.000,0.133,0.365,0.014,0.167,0.064,0.226,0.000,0.000,0.044,0.000,0.114,0.086,0.298,0.032,0.000,0.000
model.000.06.pdb,0.468,0.000,0.000,0.649,0.031,0.164,0.632,0.020,0.304,0.364,0.204,0.613,0.055,0.413,0.069,0.000,0.269,0.000,0.103,0.062,0.370,0.140,0.000,0.034,0.045,0.153,0.000,0.143,0.415,0.138
model.000.07.pdb,0.542,0.015,0.000,0.692,0.014,0.111,0.426,0.018,0.444,0.226,0.422,0.341,0.145,0.628,0.025,0.000,0.203,0.000,0.039,0.028,0.236,0.094,0.000,0.048,0.027,0.090,0.000,0.196,0.658,0.092
model.000.08.pdb,0.127,0.562,0.000,0.059,0.000,0.021,0.028,0.000,0.044,0.000,0.111,0.000,0.500,0.134,0.000,0.000,0.000,0.000,0.000,0.000,0.014,0.118,0.138,0.241,0.000,0.000,0.000,0.000,0.045,0.055
model.000.09.pdb,0.091,0.215,0.025,0.056,0.000,0.000,0.013,0.117,0.103,0.000,0.213,0.000,0.197,0.212,0.000,0.040,0.025,0.000,0.000,0.012,0.000,0.000,0.013,0.041,0.000,0.000,0.013,0.076,0.106,0.000
