 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb,model.000.15.pdb,model.000.16.pdb,model.000.17.pdb,model.000.18.pdb,model.000.19.pdb,model.000.20.pdb,model.000.21.pdb,model.000.22.pdb,model.000.23.pdb,model.000.24.pdb,model.000.25.pdb,model.000.26.pdb,model.000.27.pdb,model.000.28.pdb,model.000.29.pdb
model.000.00.pdb,0.000,0.254,0.254,0.210,0.458,0.000,0.468,0.542,0.127,0.091,0.359,0.197,0.000,0.000,0.356,0.039,0.000,0.000,0.206,0.000,0.000,0.200,0.167,0.026,0.254,0.262,0.373,0.489,0.045,0.200
model.000.01.pdb,0.127,0.045,0.000,0.094,0.000,0.029,0.000,0.015,0.562,0.215,0.051,0.000,0.000,0.078,0.056,0.028,0.032,0.000,0.000,0.000,0.000,0.000,0.000,0.254,0.000,0.167,0.000,0.033,0.189,0.000
model.000.02.pdb,0.217,0.000,0.041,0.000,0.000,0.451,0.000,0.000,0.000,0.025,0.000,0.065,0.628,0.291,0.000,0.118,0.031,0.432,0.068,0.519,0.604,0.000,0.042,0.041,0.052,0.000,0.000,0.000,0.098,0.087
model.000.03.pdb,0.000,0.294,0.392,0.241,0.676,0.000,0.649,0.692,0.059,0.056,0.339,0.262,0.000,0.000,0.333,0.014,0.034,0.000,0.321,0.000,0.000,0.280,0.302,0.000,0.226,0.156,0.590,0.595,0.012,0.321
model.000.04.pdb,0.104,0.000,0.100,0.000,0.030,0.172,0.031,0.014,0.000,0.000,0.076,0.107,0.340,0.143,0.083,0.305,0.000,0.255,0.096,0.509,0.368,0.000,0.087,0.000,0.242,0.053,0.046,0.048,0.000,0.152
model.000.05.pdb,0.000,0.000,0.044,0.000,0.075,0.000,0.164,0.111,0.021,0.000,0.471,0.010,0.023,0.023,0.433,0.532,0.000,0.000,0.043,0.114,0.032,0.000,0.057,0.000,0.538,0.485,0.075,0.169,0.000,0.068
model.000.06.pdb,0.000,0.136,0.241,0.133,0.432,0.000,0.632,0.426,0.028,0.013,0.538,0.164,0.000,0.000,0.553,0.075,0.000,0.000,0.190,0.000,0.000,0.140,0.228,0.000,0.400,0.293,0.370,0.622,0.000,0.224
model.000.07.pdb,0.017,0.163,0.107,0.160,0.019,0.132,0.020,0.018,0.000,0.117,0.000,0.236,0.191,0.018,0.000,0.000,0.444,0.441,0.327,0.121,0.125,0.222,0.224,0.033,0.000,0.000,0.060,0.000,0.118,0.220
model.000.08.pdb,0.000,0.512,0.591,0.435,0.419,0.000,0.304,0.444,0.044,0.103,0.099,0.551,0.000,0.000,0.076,0.000,0.176,0.018,0.521,0.000,0.000,0.500,0.388,0.000,0.027,0.000,0.564,0.184,0.000,0.468
model.000.09.pdb,0.000,0.121,0.429,0.119,0.326,0.000,0.364,0.226,0.000,0.000,0.182,0.407,0.067,0.000,0.183,0.077,0.091,0.118,0.431,0.141,0.092,0.145,0.478,0.000,0.250,0.043,0.386,0.261,0.000,0.500
model.000.10.pdb,0.000,0.730,0.353,0.585,0.333,0.000,0.204,0.422,0.111,0.213,0.069,0.442,0.000,0.000,0.045,0.000,0.341,0.057,0.412,0.000,0.000,0.771,0.288,0.030,0.014,0.014,0.395,0.140,0.078,0.283
model.000.11.pdb,0.000,0.122,0.304,0.120,0.417,0.000,0.613,0.341,0.000,0.000,0.308,0.222,0.000,0.000,0.326,0.053,0.000,0.000,0.312,0.000,0.000,0.128,0.381,0.000,0.250,0.125,0.500,0.548,0.000,0.372
model.000.12.pdb,0.016,0.125,0.062,0.123,0.135,0.000,0.055,0.145,0.500,0.197,0.056,0.028,0.000,0.000,0.095,0.000,0.018,0.000,0.029,0.000,0.000,0.070,0.000,0.133,0.014,0.203,0.073,0.143,0.139,0.000
model.000.13.pdb,0.000,0.522,0.415,0.449,0.535,0.000,0.413,0.628,0.134,0.212,0.169,0.397,0.000,0.000,0.118,0.000,0.161,0.000,0.368,0.000,0.000,0.447,0.259,0.056,0.067,0.040,0.500,0.312,0.072,0.276
model.000.14.pdb,0.120,0.000,0.176,0.000,0.083,0.133,0.069,0.025,0.000,0.000,0.092,0.163,0.286,0.139,0.086,0.279,0.027,0.233,0.139,0.552,0.333,0.000,0.149,0.000,0.227,0.047,0.068,0.071,0.010,0.194
model.000.15.pdb,0.429,0.000,0.000,0.000,0.000,0.365,0.000,0.000,0.000,0.040,0.000,0.000,0.288,0.511,0.000,0.197,0.000,0.111,0.000,0.434,0.321,0.000,0.000,0.074,0.040,0.000,0.000,0.000,0.145,0.000
model.000.16.pdb,0.000,0.164,0.583,0.180,0.264,0.014,0.269,0.203,0.000,0.025,0.091,0.577,0.077,0.000,0.100,0.013,0.158,0.167,0.519,0.097,0.069,0.211,0.609,0.013,0.095,0.000,0.340,0.164,0.011,0.630
model.000.17.pdb,0.169,0.000,0.000,0.000,0.000,0.167,0.000,0.000,0.000,0.000,0.000,0.000,0.222,0.264,0.014,0.333,0.000,0.113,0.000,0.471,0.304,0.000,0.000,0.000,0.116,0.014,0.000,0.000,0.000,0.000
model.000.18.pdb,0.038,0.000,0.197,0.000,0.086,0.064,0.103,0.039,0.000,0.000,0.163,0.167,0.215,0.053,0.178,0.371,0.014,0.180,0.158,0.375,0.211,0.000,0.153,0.000,0.364,0.128,0.086,0.106,0.000,0.200
model.000.19.pdb,0.154,0.000,0.099,0.000,0.030,0.226,0.062,0.028,0.000,0.012,0.103,0.091,0.385,0.197,0.113,0.200,0.000,0.250,0.095,0.446,0.463,0.000,0.086,0.013,0.239,0.052,0.045,0.065,0.022,0.149
model.000.20.pdb,0.000,0.046,0.123,0.045,0.208,0.000,0.370,0.236,0.014,0.000,0.558,0.082,0.000,0.000,0.721,0.217,0.000,0.000,0.134,0.013,0.000,0.048,0.164,0.000,0.592,0.462,0.208,0.419,0.000,0.161
model.000.21.pdb,0.000,0.000,0.027,0.000,0.065,0.000,0.140,0.094,0.118,0.000,0.509,0.013,0.000,0.014,0.520,0.210,0.000,0.000,0.040,0.000,0.000,0.000,0.058,0.000,0.333,0.773,0.082,0.189,0.000,0.072
model.000.22.pdb,0.186,0.000,0.000,0.000,0.000,0.044,0.000,0.000,0.138,0.013,0.157,0.000,0.000,0.172,0.121,0.197,0.000,0.000,0.000,0.056,0.028,0.000,0.000,0.028,0.054,0.226,0.000,0.000,0.036,0.000
model.000.23.pdb,0.000,0.015,0.000,0.000,0.051,0.000,0.034,0.048,0.241,0.041,0.274,0.000,0.000,0.015,0.220,0.127,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.029,0.101,0.510,0.000,0.113,0.037,0.000
model.000.24.pdb,0.100,0.000,0.127,0.000,0.060,0.114,0.045,0.027,0.000,0.000,0.073,0.132,0.233,0.136,0.080,0.311,0.029,0.175,0.107,0.482,0.286,0.000,0.130,0.000,0.269,0.037,0.044,0.046,0.000,0.145
model.000.25.pdb,0.042,0.058,0.322,0.057,0.150,0.086,0.153,0.090,0.000,0.000,0.103,0.333,0.241,0.043,0.097,0.099,0.115,0.300,0.350,0.286,0.234,0.076,0.434,0.000,0.203,0.038,0.169,0.100,0.000,0.400
