 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb,model.000.15.pdb,model.000.16.pdb,model.000.17.pdb,model.000.18.pdb,model.000.19.pdb,model.000.20.pdb,model.000.21.pdb,model.000.22.pdb,model.000.23.pdb,model.000.24.pdb,model.000.25.pdb,model.000.26.pdb,model.000.27.pdb,model.000.28.pdb,model.000.29.pdb
model.000.00.pdb,0.000,0.711,0.263,0.095,0.012,0.000,0.500,0.071,0.000,0.167,0.316,0.150,0.099,0.681,0.114,0.056,0.000,0.000,0.304,0.281,0.110,0.136,0.000,0.000,0.164,0.130,0.000,0.000,0.000,0.000
model.000.01.pdb,0.780,0.000,0.000,0.086,0.596,0.448,0.000,0.347,0.525,0.000,0.000,0.056,0.118,0.000,0.133,0.000,0.456,0.026,0.000,0.000,0.114,0.065,0.041,0.540,0.000,0.000,0.509,0.190,0.441,0.527
model.000.02.pdb,0.000,0.211,0.067,0.197,0.000,0.000,0.595,0.000,0.000,0.078,0.098,0.173,0.186,0.203,0.148,0.196,0.000,0.000,0.140,0.066,0.177,0.196,0.017,0.000,0.489,0.167,0.000,0.000,0.000,0.000
model.000.03.pdb,0.000,0.125,0.152,0.049,0.000,0.000,0.339,0.000,0.000,0.446,0.053,0.043,0.051,0.122,0.038,0.646,0.000,0.169,0.242,0.069,0.037,0.068,0.123,0.000,0.519,0.547,0.000,0.000,0.000,0.000
model.000.04.pdb,0.000,0.250,0.548,0.000,0.000,0.000,0.360,0.000,0.000,0.489,0.333,0.000,0.000,0.309,0.000,0.308,0.000,0.066,0.784,0.375,0.000,0.000,0.000,0.000,0.183,0.511,0.000,0.000,0.000,0.000
model.000.05.pdb,0.000,0.190,0.167,0.113,0.000,0.000,0.553,0.000,0.000,0.250,0.106,0.117,0.118,0.203,0.101,0.327,0.000,0.029,0.246,0.109,0.097,0.141,0.031,0.000,0.583,0.357,0.000,0.000,0.000,0.000
model.000.06.pdb,0.310,0.000,0.000,0.136,0.238,0.291,0.000,0.135,0.481,0.000,0.000,0.033,0.180,0.000,0.091,0.000,0.148,0.138,0.000,0.000,0.087,0.095,0.212,0.143,0.000,0.000,0.404,0.442,0.385,0.291
model.000.07.pdb,0.000,0.333,0.241,0.041,0.000,0.000,0.707,0.000,0.000,0.263,0.207,0.032,0.043,0.298,0.028,0.296,0.000,0.015,0.333,0.172,0.027,0.061,0.000,0.000,0.352,0.377,0.000,0.000,0.000,0.000
model.000.08.pdb,0.130,0.014,0.000,0.638,0.176,0.028,0.076,0.089,0.129,0.000,0.000,0.300,0.850,0.014,0.396,0.014,0.000,0.015,0.000,0.000,0.426,0.578,0.182,0.015,0.194,0.014,0.071,0.455,0.072,0.028
model.000.09.pdb,0.387,0.095,0.000,0.133,0.571,0.174,0.000,0.649,0.208,0.000,0.013,0.259,0.093,0.078,0.323,0.000,0.250,0.000,0.000,0.013,0.232,0.145,0.000,0.321,0.000,0.000,0.258,0.059,0.188,0.191
model.000.10.pdb,0.000,0.156,0.327,0.000,0.000,0.000,0.358,0.000,0.000,0.574,0.220,0.000,0.000,0.188,0.000,0.500,0.000,0.113,0.429,0.250,0.000,0.000,0.082,0.000,0.339,0.705,0.000,0.000,0.000,0.000
model.000.11.pdb,0.069,0.108,0.000,0.551,0.179,0.000,0.111,0.197,0.013,0.000,0.000,0.730,0.490,0.072,0.780,0.014,0.000,0.000,0.000,0.000,0.689,0.591,0.032,0.000,0.197,0.014,0.000,0.105,0.000,0.000
model.000.12.pdb,0.000,0.132,0.309,0.013,0.000,0.000,0.271,0.000,0.000,0.674,0.172,0.000,0.013,0.145,0.013,0.596,0.000,0.161,0.431,0.197,0.013,0.014,0.095,0.000,0.345,0.814,0.000,0.000,0.000,0.000
model.000.13.pdb,0.000,0.086,0.000,0.314,0.014,0.000,0.271,0.013,0.000,0.000,0.000,0.196,0.333,0.083,0.185,0.089,0.000,0.000,0.017,0.000,0.218,0.356,0.122,0.000,0.488,0.067,0.000,0.059,0.000,0.000
model.000.14.pdb,0.349,0.081,0.000,0.151,0.582,0.081,0.000,0.661,0.162,0.000,0.026,0.220,0.191,0.079,0.306,0.000,0.113,0.000,0.000,0.027,0.235,0.182,0.000,0.177,0.000,0.000,0.155,0.183,0.110,0.127
model.000.15.pdb,0.000,0.255,0.231,0.000,0.000,0.000,0.523,0.000,0.000,0.380,0.175,0.000,0.000,0.246,0.000,0.396,0.000,0.067,0.327,0.161,0.000,0.015,0.034,0.000,0.373,0.429,0.000,0.000,0.000,0.000
model.000.16.pdb,0.014,0.148,0.444,0.000,0.000,0.045,0.097,0.025,0.013,0.228,0.511,0.000,0.000,0.180,0.000,0.062,0.062,0.048,0.320,0.500,0.000,0.000,0.000,0.016,0.000,0.183,0.014,0.000,0.014,0.029
model.000.17.pdb,0.000,0.230,0.129,0.162,0.000,0.000,0.659,0.000,0.000,0.172,0.106,0.155,0.152,0.203,0.134,0.281,0.000,0.014,0.203,0.076,0.145,0.177,0.015,0.000,0.520,0.246,0.000,0.000,0.000,0.000
model.000.18.pdb,0.000,0.203,0.737,0.000,0.000,0.000,0.150,0.000,0.000,0.340,0.500,0.000,0.000,0.259,0.000,0.169,0.014,0.065,0.595,0.558,0.000,0.000,0.000,0.000,0.059,0.358,0.000,0.000,0.000,0.000
model.000.19.pdb,0.000,0.643,0.103,0.074,0.056,0.000,0.264,0.171,0.000,0.062,0.155,0.220,0.077,0.511,0.186,0.031,0.000,0.000,0.121,0.121,0.159,0.175,0.000,0.000,0.094,0.029,0.000,0.000,0.000,0.000
model.000.20.pdb,0.014,0.522,0.121,0.042,0.069,0.000,0.153,0.258,0.000,0.029,0.236,0.192,0.044,0.440,0.164,0.000,0.000,0.000,0.082,0.200,0.138,0.133,0.000,0.000,0.044,0.000,0.014,0.000,0.000,0.000
model.000.21.pdb,0.189,0.092,0.000,0.554,0.343,0.025,0.052,0.280,0.085,0.000,0.000,0.531,0.556,0.062,0.680,0.013,0.012,0.000,0.000,0.000,0.611,0.558,0.056,0.041,0.151,0.012,0.062,0.276,0.037,0.037
model.000.22.pdb,0.122,0.040,0.000,0.673,0.197,0.000,0.070,0.138,0.091,0.000,0.000,0.346,0.795,0.026,0.519,0.013,0.000,0.014,0.000,0.000,0.577,0.617,0.167,0.014,0.215,0.013,0.039,0.353,0.039,0.000
model.000.23.pdb,0.149,0.125,0.000,0.434,0.317,0.000,0.077,0.288,0.054,0.000,0.000,0.641,0.404,0.088,0.698,0.000,0.014,0.000,0.000,0.000,0.520,0.522,0.032,0.016,0.074,0.000,0.028,0.212,0.000,0.014
model.000.24.pdb,0.411,0.000,0.000,0.114,0.286,0.370,0.000,0.130,0.538,0.000,0.000,0.031,0.154,0.000,0.087,0.000,0.237,0.095,0.000,0.000,0.068,0.075,0.179,0.264,0.000,0.000,0.462,0.383,0.442,0.370
model.000.25.pdb,0.620,0.000,0.000,0.096,0.627,0.288,0.000,0.435,0.390,0.000,0.028,0.079,0.132,0.000,0.149,0.000,0.316,0.014,0.000,0.029,0.127,0.088,0.015,0.408,0.000,0.000,0.393,0.218,0.328,0.382
model.000.26.pdb,0.250,0.139,0.049,0.044,0.329,0.098,0.000,0.609,0.129,0.000,0.114,0.139,0.034,0.165,0.167,0.000,0.156,0.000,0.049,0.117,0.119,0.060,0.000,0.186,0.000,0.000,0.165,0.038,0.123,0.139
model.000.27.pdb,0.642,0.000,0.000,0.089,0.508,0.519,0.000,0.284,0.600,0.000,0.000,0.057,0.122,0.000,0.122,0.000,0.528,0.027,0.000,0.000,0.103,0.067,0.072,0.562,0.000,0.000,0.615,0.237,0.537,0.547
