 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb,model.000.15.pdb,model.000.16.pdb,model.000.17.pdb,model.000.18.pdb,model.000.19.pdb,model.000.20.pdb,model.000.21.pdb,model.000.22.pdb,model.000.23.pdb,model.000.24.pdb,model.000.25.pdb,model.000.26.pdb,model.000.27.pdb
model.000.00.pdb,0.121,0.000,0.390,0.035,0.088,0.000,0.150,0.360,0.190,0.521,0.081,0.087,0.500,0.000,0.013,0.095,0.000,0.029,0.045,0.591,0.000,0.015,0.000,0.043,0.030,0.000,0.000,0.000
model.000.01.pdb,0.179,0.039,0.581,0.000,0.245,0.000,0.326,0.071,0.241,0.250,0.000,0.015,0.164,0.068,0.000,0.000,0.000,0.000,0.000,0.265,0.000,0.000,0.130,0.333,0.034,0.038,0.000,0.040
model.000.02.pdb,0.151,0.000,0.288,0.045,0.105,0.014,0.162,0.560,0.232,0.660,0.041,0.197,0.745,0.000,0.086,0.113,0.000,0.038,0.013,0.702,0.000,0.013,0.000,0.051,0.068,0.000,0.014,0.000
model.000.03.pdb,0.000,0.000,0.000,0.164,0.000,0.242,0.000,0.026,0.000,0.000,0.549,0.000,0.012,0.383,0.000,0.350,0.717,0.750,0.800,0.000,0.207,0.633,0.000,0.000,0.000,0.000,0.200,0.000
model.000.04.pdb,0.066,0.000,0.306,0.138,0.066,0.075,0.118,0.442,0.123,0.455,0.104,0.038,0.463,0.000,0.000,0.226,0.028,0.082,0.070,0.453,0.000,0.056,0.000,0.039,0.000,0.000,0.015,0.000
model.000.05.pdb,0.490,0.622,0.057,0.000,0.431,0.000,0.388,0.000,0.370,0.043,0.000,0.072,0.014,0.000,0.132,0.000,0.000,0.000,0.000,0.045,0.000,0.000,0.619,0.511,0.396,0.694,0.000,0.639
model.000.06.pdb,0.306,0.015,0.362,0.000,0.266,0.000,0.333,0.293,0.439,0.569,0.000,0.224,0.436,0.000,0.104,0.013,0.000,0.000,0.000,0.604,0.000,0.000,0.086,0.145,0.154,0.045,0.000,0.063
model.000.07.pdb,0.097,0.000,0.512,0.085,0.097,0.045,0.156,0.431,0.176,0.500,0.059,0.053,0.540,0.027,0.012,0.156,0.000,0.055,0.014,0.500,0.000,0.014,0.028,0.100,0.000,0.000,0.000,0.000
model.000.08.pdb,0.000,0.000,0.105,0.250,0.000,0.224,0.000,0.175,0.000,0.039,0.404,0.000,0.099,0.132,0.000,0.471,0.259,0.393,0.389,0.086,0.103,0.298,0.000,0.000,0.000,0.000,0.119,0.000
model.000.09.pdb,0.203,0.115,0.385,0.000,0.315,0.000,0.347,0.016,0.241,0.148,0.000,0.014,0.078,0.115,0.000,0.000,0.000,0.000,0.000,0.155,0.000,0.000,0.222,0.468,0.083,0.113,0.000,0.118
model.000.10.pdb,0.463,0.571,0.051,0.000,0.463,0.000,0.423,0.000,0.356,0.040,0.000,0.081,0.013,0.013,0.186,0.000,0.000,0.000,0.000,0.042,0.000,0.000,0.644,0.453,0.404,0.634,0.000,0.585
model.000.11.pdb,0.000,0.054,0.100,0.000,0.075,0.000,0.047,0.000,0.000,0.000,0.250,0.000,0.000,0.533,0.000,0.031,0.161,0.228,0.175,0.015,0.000,0.065,0.098,0.186,0.000,0.034,0.000,0.036
