 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb,model.000.15.pdb,model.000.16.pdb,model.000.17.pdb,model.000.18.pdb,model.000.19.pdb,model.000.20.pdb,model.000.21.pdb,model.000.22.pdb,model.000.23.pdb,model.000.24.pdb,model.000.25.pdb,model.000.26.pdb,model.000.27.pdb,model.000.28.pdb,model.000.29.pdb
model.000.00.pdb,0.219,0.000,0.038,0.000,0.000,0.254,0.000,0.000,0.000,0.024,0.023,0.061,0.389,0.310,0.025,0.227,0.014,0.236,0.050,0.750,0.464,0.000,0.039,0.038,0.147,0.000,0.000,0.000,0.044,0.081
model.000.01.pdb,0.000,0.092,0.134,0.075,0.314,0.000,0.435,0.315,0.149,0.025,0.527,0.093,0.000,0.000,0.571,0.070,0.000,0.000,0.113,0.000,0.000,0.078,0.138,0.000,0.328,0.491,0.218,0.488,0.011,0.136
model.000.02.pdb,0.015,0.031,0.000,0.031,0.051,0.000,0.034,0.065,0.333,0.086,0.197,0.000,0.000,0.000,0.180,0.060,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.076,0.070,0.396,0.000,0.093,0.076,0.000
model.000.03.pdb,0.000,0.210,0.481,0.206,0.203,0.054,0.167,0.172,0.000,0.049,0.035,0.593,0.121,0.000,0.038,0.000,0.273,0.241,0.537,0.107,0.095,0.259,0.529,0.000,0.062,0.000,0.268,0.079,0.044,0.580
model.000.04.pdb,0.111,0.000,0.137,0.000,0.057,0.157,0.058,0.026,0.000,0.000,0.083,0.141,0.305,0.147,0.077,0.258,0.014,0.228,0.132,0.564,0.355,0.000,0.125,0.000,0.205,0.024,0.072,0.060,0.000,0.188
model.000.05.pdb,0.431,0.000,0.000,0.000,0.000,0.396,0.000,0.000,0.000,0.038,0.000,0.000,0.321,0.543,0.000,0.169,0.000,0.145,0.000,0.463,0.375,0.000,0.000,0.070,0.025,0.000,0.000,0.000,0.125,0.000
model.000.06.pdb,0.000,0.380,0.233,0.296,0.413,0.000,0.333,0.568,0.210,0.129,0.171,0.212,0.000,0.000,0.154,0.000,0.049,0.000,0.203,0.000,0.000,0.288,0.125,0.028,0.082,0.185,0.300,0.348,0.035,0.141
model.000.07.pdb,0.036,0.000,0.127,0.000,0.081,0.061,0.129,0.077,0.000,0.000,0.228,0.118,0.186,0.050,0.268,0.413,0.000,0.118,0.122,0.296,0.184,0.000,0.130,0.000,0.469,0.179,0.111,0.149,0.000,0.189
model.000.08.pdb,0.317,0.000,0.012,0.000,0.000,0.455,0.000,0.000,0.000,0.074,0.000,0.023,0.520,0.400,0.000,0.155,0.029,0.327,0.037,0.545,0.456,0.000,0.013,0.093,0.036,0.000,0.000,0.000,0.171,0.052
model.000.09.pdb,0.106,0.109,0.013,0.143,0.063,0.028,0.048,0.076,0.750,0.306,0.050,0.000,0.000,0.060,0.069,0.000,0.082,0.000,0.000,0.000,0.000,0.030,0.000,0.357,0.013,0.145,0.015,0.085,0.286,0.000
model.000.10.pdb,0.000,0.000,0.000,0.000,0.066,0.000,0.067,0.062,0.190,0.000,0.344,0.000,0.000,0.015,0.293,0.175,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.145,0.571,0.000,0.127,0.000,0.000
model.000.11.pdb,0.000,0.145,0.511,0.143,0.372,0.000,0.381,0.286,0.000,0.000,0.169,0.423,0.033,0.000,0.169,0.062,0.094,0.078,0.479,0.076,0.045,0.173,0.467,0.000,0.197,0.060,0.475,0.244,0.000,0.634
model.000.12.pdb,0.014,0.241,0.375,0.237,0.214,0.087,0.155,0.143,0.000,0.093,0.037,0.509,0.164,0.014,0.040,0.000,0.367,0.362,0.569,0.143,0.130,0.321,0.442,0.027,0.051,0.000,0.259,0.083,0.083,0.520
model.000.13.pdb,0.000,0.090,0.099,0.072,0.232,0.000,0.308,0.259,0.162,0.025,0.536,0.077,0.000,0.000,0.549,0.083,0.000,0.000,0.080,0.000,0.000,0.076,0.101,0.000,0.297,0.620,0.169,0.404,0.011,0.100
model.000.14.pdb,0.000,0.143,0.510,0.141,0.283,0.014,0.314,0.241,0.000,0.012,0.149,0.509,0.092,0.000,0.147,0.069,0.136,0.143,0.481,0.159,0.114,0.167,0.500,0.000,0.224,0.039,0.388,0.204,0.000,0.652
model.000.15.pdb,0.109,0.302,0.072,0.296,0.102,0.043,0.032,0.169,0.562,0.519,0.025,0.067,0.000,0.045,0.000,0.000,0.164,0.000,0.069,0.000,0.000,0.175,0.014,0.423,0.000,0.027,0.083,0.051,0.354,0.014
model.000.16.pdb,0.309,0.000,0.000,0.000,0.000,0.259,0.000,0.000,0.000,0.013,0.000,0.000,0.278,0.458,0.000,0.250,0.000,0.069,0.000,0.500,0.288,0.000,0.000,0.027,0.067,0.013,0.000,0.000,0.072,0.000
model.000.17.pdb,0.360,0.031,0.000,0.031,0.000,0.255,0.000,0.000,0.200,0.310,0.000,0.000,0.102,0.245,0.000,0.000,0.070,0.055,0.000,0.028,0.059,0.032,0.000,0.578,0.000,0.000,0.000,0.000,0.518,0.000
model.000.18.pdb,0.062,0.081,0.029,0.062,0.086,0.000,0.069,0.117,0.490,0.149,0.159,0.013,0.000,0.015,0.159,0.000,0.000,0.000,0.000,0.000,0.000,0.032,0.000,0.108,0.041,0.316,0.033,0.132,0.103,0.000
model.000.19.pdb,0.000,0.000,0.000,0.000,0.033,0.000,0.033,0.031,0.217,0.013,0.311,0.000,0.000,0.015,0.281,0.161,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.014,0.132,0.562,0.000,0.091,0.012,0.000
model.000.20.pdb,0.000,0.154,0.538,0.152,0.268,0.013,0.273,0.210,0.000,0.012,0.128,0.536,0.088,0.000,0.125,0.039,0.167,0.155,0.566,0.137,0.095,0.177,0.660,0.000,0.164,0.025,0.365,0.172,0.000,0.646
model.000.21.pdb,0.000,0.232,0.510,0.228,0.327,0.014,0.280,0.232,0.000,0.039,0.108,0.600,0.079,0.000,0.119,0.014,0.231,0.196,0.638,0.085,0.071,0.288,0.674,0.000,0.113,0.013,0.413,0.192,0.023,0.659
model.000.22.pdb,0.121,0.145,0.000,0.143,0.000,0.200,0.000,0.000,0.095,0.377,0.000,0.088,0.170,0.105,0.000,0.000,0.349,0.196,0.092,0.029,0.095,0.173,0.048,0.417,0.000,0.000,0.017,0.000,0.491,0.031
model.000.23.pdb,0.200,0.000,0.000,0.000,0.000,0.175,0.000,0.000,0.000,0.000,0.000,0.000,0.260,0.306,0.000,0.278,0.000,0.120,0.000,0.532,0.296,0.000,0.000,0.000,0.072,0.014,0.000,0.000,0.012,0.000
model.000.24.pdb,0.000,0.800,0.262,0.738,0.259,0.000,0.175,0.385,0.238,0.367,0.062,0.361,0.000,0.000,0.040,0.000,0.396,0.000,0.290,0.000,0.000,0.628,0.190,0.185,0.000,0.026,0.308,0.121,0.213,0.188
model.000.25.pdb,0.072,0.263,0.055,0.237,0.062,0.014,0.015,0.143,0.733,0.439,0.024,0.051,0.000,0.029,0.040,0.000,0.136,0.000,0.067,0.000,0.000,0.148,0.014,0.262,0.000,0.127,0.062,0.048,0.282,0.013
model.000.26.pdb,0.339,0.000,0.000,0.000,0.000,0.407,0.000,0.000,0.000,0.037,0.012,0.000,0.500,0.377,0.013,0.200,0.030,0.226,0.013,0.528,0.491,0.000,0.000,0.054,0.064,0.013,0.000,0.000,0.136,0.000
model.000.27.pdb,0.103,0.033,0.063,0.033,0.018,0.275,0.000,0.000,0.000,0.091,0.000,0.141,0.419,0.088,0.000,0.000,0.239,0.800,0.207,0.207,0.308,0.091,0.140,0.047,0.014,0.000,0.000,0.000,0.157,0.158
model.000.28.pdb,0.345,0.000,0.000,0.000,0.000,0.415,0.000,0.000,0.000,0.065,0.000,0.000,0.449,0.412,0.000,0.185,0.031,0.255,0.013,0.481,0.368,0.000,0.000,0.085,0.038,0.000,0.000,0.000,0.167,0.000
model.000.29.pdb,0.281,0.000,0.000,0.000,0.000,0.276,0.000,0.000,0.000,0.025,0.000,0.000,0.296,0.340,0.000,0.226,0.000,0.125,0.000,0.519,0.400,0.000,0.000,0.041,0.052,0.000,0.000,0.000,0.071,0.000
