 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb
model.000.00.pdb,0.309,0.194,0.000,0.045,0.000,0.111,0.152,0.489,0.058,0.164,0.246,0.014,0.304,0.322,0.041
model.000.01.pdb,0.000,0.000,0.235,0.264,0.333,0.000,0.000,0.000,0.224,0.000,0.000,0.714,0.000,0.000,0.480
model.000.02.pdb,0.000,0.051,0.545,0.075,0.106,0.106,0.082,0.000,0.041,0.042,0.000,0.222,0.000,0.000,0.145
model.000.03.pdb,0.000,0.000,0.231,0.236,0.302,0.000,0.000,0.000,0.220,0.000,0.000,0.659,0.000,0.000,0.442
model.000.04.pdb,0.000,0.014,0.341,0.105,0.231,0.049,0.014,0.000,0.098,0.000,0.000,0.214,0.000,0.000,0.148
model.000.05.pdb,0.327,0.209,0.015,0.000,0.000,0.145,0.203,0.308,0.000,0.180,0.091,0.000,0.276,0.491,0.013
model.000.06.pdb,0.000,0.028,0.318,0.033,0.145,0.068,0.015,0.000,0.048,0.016,0.000,0.136,0.000,0.000,0.062
model.000.07.pdb,0.000,0.013,0.260,0.155,0.308,0.030,0.014,0.000,0.145,0.015,0.000,0.333,0.000,0.000,0.254
model.000.08.pdb,0.000,0.000,0.000,0.587,0.396,0.000,0.000,0.060,0.750,0.000,0.154,0.300,0.000,0.000,0.356
model.000.09.pdb,0.026,0.023,0.014,0.351,0.258,0.013,0.000,0.103,0.373,0.000,0.026,0.390,0.025,0.062,0.585
model.000.10.pdb,0.037,0.058,0.101,0.026,0.141,0.095,0.048,0.026,0.050,0.051,0.065,0.049,0.000,0.000,0.036
model.000.11.pdb,0.013,0.035,0.542,0.054,0.097,0.097,0.090,0.000,0.025,0.039,0.000,0.297,0.000,0.000,0.197
model.000.12.pdb,0.468,0.305,0.051,0.000,0.000,0.314,0.377,0.123,0.000,0.308,0.030,0.000,0.346,0.442,0.000
model.000.13.pdb,0.346,0.279,0.000,0.000,0.000,0.133,0.194,0.512,0.014,0.232,0.255,0.000,0.420,0.434,0.028
model.000.14.pdb,0.027,0.063,0.113,0.043,0.138,0.088,0.039,0.000,0.069,0.042,0.027,0.026,0.000,0.000,0.013
