 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb
model.000.00.pdb,0.000,0.365,0.013,0.000,0.458,0.000,0.000,0.118,0.000,0.640,0.000,0.000,0.000,0.000,0.000
model.000.01.pdb,0.000,0.237,0.012,0.043,0.263,0.000,0.000,0.099,0.000,0.527,0.000,0.000,0.000,0.029,0.000
model.000.02.pdb,0.250,0.000,0.060,0.525,0.034,0.271,0.265,0.000,0.269,0.058,0.000,0.141,0.161,0.419,0.255
model.000.03.pdb,0.037,0.214,0.160,0.012,0.167,0.000,0.000,0.111,0.000,0.371,0.000,0.000,0.000,0.037,0.038
model.000.04.pdb,0.556,0.000,0.218,0.500,0.000,0.239,0.261,0.000,0.292,0.000,0.000,0.232,0.220,0.583,0.618
model.000.05.pdb,0.000,0.100,0.087,0.000,0.048,0.000,0.000,0.578,0.000,0.000,0.077,0.000,0.000,0.000,0.000
model.000.06.pdb,0.082,0.030,0.085,0.063,0.000,0.098,0.153,0.106,0.180,0.000,0.674,0.362,0.291,0.063,0.048
model.000.07.pdb,0.048,0.136,0.056,0.065,0.158,0.000,0.000,0.014,0.000,0.368,0.000,0.000,0.000,0.082,0.049
model.000.08.pdb,0.000,0.259,0.041,0.000,0.196,0.000,0.000,0.159,0.000,0.463,0.000,0.000,0.000,0.000,0.000
model.000.09.pdb,0.127,0.016,0.058,0.105,0.000,0.212,0.280,0.015,0.283,0.000,0.744,0.471,0.426,0.125,0.089
model.000.10.pdb,0.000,0.391,0.028,0.000,0.340,0.000,0.000,0.255,0.000,0.471,0.000,0.000,0.000,0.000,0.000
model.000.11.pdb,0.000,0.377,0.012,0.000,0.532,0.000,0.000,0.114,0.000,0.787,0.000,0.000,0.000,0.000,0.000
model.000.12.pdb,0.000,0.016,0.108,0.000,0.000,0.000,0.000,0.308,0.000,0.000,0.218,0.072,0.065,0.000,0.000
model.000.13.pdb,0.000,0.327,0.026,0.000,0.259,0.000,0.000,0.213,0.000,0.509,0.000,0.000,0.000,0.000,0.000
model.000.14.pdb,0.348,0.000,0.123,0.432,0.033,0.086,0.085,0.000,0.133,0.056,0.000,0.071,0.063,0.370,0.271
