 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb
model.000.00.pdb,0.000,0.254,0.254,0.210,0.458,0.000,0.468,0.542,0.127,0.091,0.359,0.197,0.000,0.000,0.356
model.000.01.pdb,0.127,0.045,0.000,0.094,0.000,0.029,0.000,0.015,0.562,0.215,0.051,0.000,0.000,0.078,0.056
model.000.02.pdb,0.217,0.000,0.041,0.000,0.000,0.451,0.000,0.000,0.000,0.025,0.000,0.065,0.628,0.291,0.000
model.000.03.pdb,0.000,0.294,0.392,0.241,0.676,0.000,0.649,0.692,0.059,0.056,0.339,0.262,0.000,0.000,0.333
model.000.04.pdb,0.104,0.000,0.100,0.000,0.030,0.172,0.031,0.014,0.000,0.000,0.076,0.107,0.340,0.143,0.083
model.000.05.pdb,0.000,0.000,0.044,0.000,0.075,0.000,0.164,0.111,0.021,0.000,0.471,0.010,0.023,0.023,0.433
model.000.06.pdb,0.000,0.136,0.241,0.133,0.432,0.000,0.632,0.426,0.028,0.013,0.538,0.164,0.000,0.000,0.553
model.000.07.pdb,0.017,0.163,0.107,0.160,0.019,0.132,0.020,0.018,0.000,0.117,0.000,0.236,0.191,0.018,0.000
model.000.08.pdb,0.000,0.512,0.591,0.435,0.419,0.000,0.304,0.444,0.044,0.103,0.099,0.551,0.000,0.000,0.076
model.000.09.pdb,0.000,0.121,0.429,0.119,0.326,0.000,0.364,0.226,0.000,0.000,0.182,0.407,0.067,0.000,0.183
model.000.10.pdb,0.000,0.730,0.353,0.585,0.333,0.000,0.204,0.422,0.111,0.213,0.069,0.442,0.000,0.000,0.045
model.000.11.pdb,0.000,0.122,0.304,0.120,0.417,0.000,0.613,0.341,0.000,0.000,0.308,0.222,0.000,0.000,0.326
model.000.12.pdb,0.016,0.125,0.062,0.123,0.135,0.000,0.055,0.145,0.500,0.197,0.056,0.028,0.000,0.000,0.095
model.000.13.pdb,0.000,0.522,0.415,0.449,0.535,0.000,0.413,0.628,0.134,0.212,0.169,0.397,0.000,0.000,0.118
model.000.14.pdb,0.120,0.000,0.176,0.000,0.083,0.133,0.069,0.025,0.000,0.000,0.092,0.163,0.286,0.139,0.086
