 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb
model.000.00.pdb,0.000,0.000,0.000,0.000,0.027,0.078,0.000,0.000,0.426,0.076,0.000,0.053,0.028,0.000,0.538
model.000.01.pdb,0.000,0.000,0.000,0.000,0.064,0.123,0.000,0.000,0.532,0.068,0.000,0.087,0.025,0.000,0.492
model.000.02.pdb,0.000,0.390,0.079,0.442,0.700,0.551,0.143,0.000,0.096,0.000,0.029,0.565,0.634,0.500,0.074
model.000.03.pdb,0.294,0.089,0.161,0.100,0.000,0.000,0.417,0.326,0.000,0.153,0.583,0.000,0.000,0.089,0.000
model.000.04.pdb,0.241,0.148,0.327,0.155,0.014,0.000,0.438,0.409,0.000,0.062,0.400,0.027,0.014,0.127,0.000
model.000.05.pdb,0.000,0.033,0.028,0.015,0.177,0.246,0.000,0.000,0.574,0.000,0.000,0.203,0.091,0.033,0.393
model.000.06.pdb,0.000,0.000,0.000,0.000,0.179,0.225,0.000,0.000,0.655,0.027,0.000,0.186,0.147,0.000,0.556
model.000.07.pdb,0.067,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.038,0.347,0.042,0.000,0.000,0.000,0.172
model.000.08.pdb,0.373,0.048,0.188,0.061,0.000,0.000,0.358,0.383,0.000,0.161,0.600,0.000,0.000,0.048,0.000
model.000.09.pdb,0.000,0.000,0.000,0.000,0.088,0.155,0.000,0.000,0.509,0.029,0.000,0.099,0.043,0.000,0.519
model.000.10.pdb,0.308,0.000,0.042,0.000,0.000,0.000,0.000,0.105,0.024,0.129,0.054,0.000,0.000,0.000,0.082
model.000.11.pdb,0.076,0.245,0.116,0.420,0.149,0.133,0.780,0.158,0.000,0.090,0.446,0.125,0.206,0.269,0.000
model.000.12.pdb,0.000,0.000,0.000,0.000,0.000,0.012,0.000,0.000,0.275,0.108,0.000,0.013,0.014,0.000,0.528
model.000.13.pdb,0.000,0.000,0.000,0.000,0.013,0.023,0.000,0.000,0.292,0.100,0.000,0.012,0.053,0.000,0.623
model.000.14.pdb,0.043,0.153,0.082,0.259,0.053,0.048,0.596,0.097,0.000,0.230,0.537,0.051,0.099,0.153,0.000
