 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb
model.000.00.pdb,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.418,0.510,0.042,0.000,0.333,0.000
model.000.01.pdb,0.111,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.333,0.717,0.169,0.000,0.552,0.000
model.000.02.pdb,0.500,0.341,0.095,0.000,0.138,0.000,0.028,0.415,0.475,0.000,0.115,0.585,0.188,0.097,0.000
model.000.03.pdb,0.057,0.038,0.057,0.000,0.000,0.000,0.000,0.000,0.000,0.353,0.468,0.035,0.000,0.645,0.000
model.000.04.pdb,0.512,0.719,0.226,0.000,0.127,0.000,0.030,0.543,0.486,0.000,0.000,0.271,0.359,0.042,0.000
model.000.05.pdb,0.000,0.000,0.074,0.255,0.000,0.224,0.085,0.000,0.000,0.197,0.029,0.000,0.000,0.012,0.235
model.000.06.pdb,0.014,0.048,0.190,0.650,0.385,0.378,0.580,0.049,0.048,0.000,0.000,0.000,0.145,0.000,0.625
model.000.07.pdb,0.121,0.032,0.000,0.000,0.000,0.000,0.000,0.016,0.016,0.213,0.460,0.167,0.000,0.585,0.000
model.000.08.pdb,0.014,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.471,0.574,0.029,0.000,0.491,0.000
model.000.09.pdb,0.029,0.089,0.183,0.378,0.478,0.289,0.562,0.111,0.109,0.000,0.000,0.000,0.229,0.000,0.452
model.000.10.pdb,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.690,0.522,0.000,0.000,0.266,0.000
model.000.11.pdb,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.404,0.549,0.056,0.000,0.343,0.000
model.000.12.pdb,0.000,0.000,0.129,0.488,0.081,0.425,0.213,0.000,0.000,0.045,0.000,0.000,0.036,0.000,0.429
model.000.13.pdb,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.583,0.596,0.000,0.000,0.387,0.000
model.000.14.pdb,0.578,0.298,0.127,0.000,0.030,0.000,0.000,0.277,0.271,0.000,0.129,0.634,0.135,0.157,0.000
