 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb
model.000.00.pdb,0.032,0.015,0.169,0.000,0.000,0.000,0.000,0.286,0.014,0.000,0.246,0.114,0.094,0.000,0.032
model.000.01.pdb,0.667,0.000,0.203,0.605,0.000,0.356,0.378,0.000,0.404,0.000,0.082,0.327,0.383,0.694,0.639
model.000.02.pdb,0.268,0.000,0.547,0.125,0.000,0.059,0.090,0.040,0.132,0.000,0.242,0.292,0.152,0.161,0.346
model.000.03.pdb,0.413,0.000,0.118,0.610,0.000,0.571,0.595,0.000,0.543,0.000,0.092,0.300,0.346,0.571,0.362
model.000.04.pdb,0.365,0.000,0.139,0.500,0.029,0.200,0.197,0.000,0.242,0.050,0.000,0.135,0.152,0.500,0.373
model.000.05.pdb,0.295,0.000,0.111,0.404,0.039,0.176,0.174,0.000,0.197,0.070,0.000,0.095,0.105,0.379,0.258
model.000.06.pdb,0.196,0.000,0.040,0.236,0.000,0.545,0.605,0.000,0.587,0.000,0.404,0.538,0.565,0.283,0.179
model.000.07.pdb,0.091,0.000,0.224,0.034,0.000,0.034,0.051,0.098,0.065,0.000,0.375,0.217,0.182,0.034,0.135
model.000.08.pdb,0.037,0.118,0.146,0.050,0.151,0.000,0.000,0.034,0.000,0.371,0.000,0.000,0.000,0.063,0.038
model.000.09.pdb,0.000,0.302,0.000,0.000,0.259,0.062,0.045,0.175,0.058,0.111,0.177,0.127,0.091,0.000,0.000
model.000.10.pdb,0.056,0.041,0.024,0.086,0.013,0.267,0.305,0.038,0.306,0.000,0.620,0.419,0.356,0.086,0.028
model.000.11.pdb,0.339,0.000,0.117,0.462,0.013,0.169,0.185,0.000,0.227,0.048,0.000,0.128,0.143,0.434,0.298
model.000.12.pdb,0.273,0.014,0.052,0.479,0.076,0.268,0.263,0.000,0.288,0.092,0.013,0.137,0.154,0.392,0.232
model.000.13.pdb,0.622,0.000,0.164,0.694,0.000,0.386,0.409,0.000,0.435,0.000,0.065,0.281,0.354,0.743,0.513
model.000.14.pdb,0.000,0.345,0.012,0.041,0.426,0.000,0.000,0.122,0.000,0.745,0.000,0.000,0.000,0.027,0.000
