 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb
model.000.00.pdb,0.014,0.024,0.082,0.000,0.000,0.829,0.549,0.172,0.000,0.000,0.000,0.029,0.000,0.000,0.057
model.000.01.pdb,0.345,0.492,0.103,0.283,0.145,0.000,0.000,0.000,0.411,0.393,0.660,0.149,0.500,0.745,0.141
model.000.02.pdb,0.000,0.000,0.164,0.000,0.057,0.288,0.164,0.364,0.000,0.000,0.000,0.051,0.000,0.000,0.158
model.000.03.pdb,0.000,0.000,0.025,0.000,0.000,0.129,0.078,0.143,0.000,0.000,0.000,0.000,0.000,0.000,0.026
model.000.04.pdb,0.000,0.000,0.000,0.000,0.000,0.236,0.263,0.017,0.000,0.000,0.000,0.000,0.000,0.000,0.000
model.000.05.pdb,0.000,0.000,0.085,0.000,0.016,0.259,0.149,0.245,0.000,0.000,0.000,0.000,0.000,0.000,0.091
model.000.06.pdb,0.275,0.157,0.159,0.524,0.234,0.000,0.000,0.000,0.245,0.161,0.207,0.185,0.216,0.288,0.172
model.000.07.pdb,0.000,0.000,0.028,0.000,0.000,0.346,0.276,0.145,0.000,0.000,0.000,0.000,0.000,0.000,0.030
model.000.08.pdb,0.288,0.051,0.630,0.082,0.538,0.029,0.000,0.362,0.015,0.000,0.075,0.467,0.016,0.114,0.667
model.000.09.pdb,0.364,0.569,0.122,0.088,0.062,0.068,0.107,0.059,0.152,0.172,0.356,0.175,0.241,0.387,0.130
model.000.10.pdb,0.000,0.000,0.000,0.000,0.000,0.143,0.152,0.066,0.000,0.000,0.000,0.000,0.000,0.000,0.000
model.000.11.pdb,0.294,0.093,0.510,0.000,0.204,0.129,0.072,0.500,0.000,0.000,0.044,0.383,0.000,0.069,0.500
model.000.12.pdb,0.000,0.000,0.013,0.000,0.000,0.103,0.113,0.062,0.000,0.000,0.000,0.000,0.000,0.000,0.014
model.000.13.pdb,0.018,0.000,0.275,0.000,0.163,0.130,0.048,0.588,0.000,0.000,0.000,0.143,0.000,0.000,0.277
model.000.14.pdb,0.542,0.500,0.171,0.074,0.175,0.054,0.123,0.076,0.056,0.057,0.295,0.259,0.109,0.349,0.222
