 ,f_min.final_model.000.00.det_cont.csv,f_min.final_model.000.01.det_cont.csv,f_min.final_model.000.02.det_cont.csv,f_min.final_model.000.03.det_cont.csv,f_min.final_model.000.04.det_cont.csv,f_min.final_model.000.05.det_cont.csv,f_min.final_model.000.06.det_cont.csv,f_min.final_model.000.07.det_cont.csv,f_min.final_model.000.08.det_cont.csv,f_min.final_model.000.09.det_cont.csv,f_min.final_model.000.10.det_cont.csv,f_min.final_model.000.11.det_cont.csv,f_min.final_model.000.12.det_cont.csv,f_min.final_model.000.13.det_cont.csv,f_min.final_model.000.14.det_cont.csv,f_min.final_model.000.15.det_cont.csv,f_min.final_model.000.16.det_cont.csv,f_min.final_model.000.17.det_cont.csv,f_min.final_model.000.18.det_cont.csv,f_min.final_model.000.19.det_cont.csv
f_min.final_model.000.00.det_cont.csv,0.820,0.328,0.354,0.086,0.258,0.200,0.691,0.246,0.482,0.404,0.130,0.344,0.323,0.562,0.456,0.161,0.121,0.013,0.218,0.211
f_min.final_model.000.01.det_cont.csv,0.238,0.200,0.316,0.750,0.628,0.413,0.111,0.431,0.148,0.314,0.444,0.078,0.090,0.048,0.296,0.553,0.694,0.000,0.367,0.043
f_min.final_model.000.02.det_cont.csv,0.145,0.197,0.267,0.600,0.479,0.347,0.080,0.510,0.076,0.259,0.535,0.029,0.057,0.023,0.203,0.395,0.512,0.049,0.431,0.042
f_min.final_model.000.03.det_cont.csv,0.194,0.193,0.268,0.686,0.650,0.326,0.086,0.438,0.119,0.286,0.488,0.066,0.078,0.051,0.269,0.447,0.629,0.000,0.393,0.045
f_min.final_model.000.04.det_cont.csv,0.373,0.062,0.113,0.185,0.400,0.082,0.270,0.403,0.448,0.588,0.234,0.297,0.299,0.217,0.585,0.141,0.271,0.116,0.455,0.000
f_min.final_model.000.05.det_cont.csv,0.284,0.096,0.153,0.340,0.560,0.197,0.189,0.761,0.279,0.471,0.587,0.185,0.209,0.118,0.444,0.264,0.468,0.014,0.765,0.000
f_min.final_model.000.06.det_cont.csv,0.414,0.101,0.145,0.218,0.510,0.131,0.292,0.571,0.451,0.732,0.380,0.281,0.328,0.197,0.682,0.189,0.327,0.015,0.509,0.000
f_min.final_model.000.07.det_cont.csv,0.618,0.258,0.246,0.072,0.209,0.169,0.655,0.200,0.588,0.418,0.101,0.509,0.448,0.531,0.473,0.129,0.075,0.014,0.192,0.135
f_min.final_model.000.08.det_cont.csv,0.338,0.141,0.167,0.043,0.145,0.138,0.459,0.123,0.549,0.288,0.072,0.500,0.783,0.477,0.386,0.115,0.029,0.091,0.123,0.079
f_min.final_model.000.09.det_cont.csv,0.431,0.510,0.667,0.308,0.293,0.522,0.393,0.219,0.230,0.200,0.250,0.138,0.164,0.333,0.210,0.488,0.222,0.015,0.176,0.219
f_min.final_model.000.10.det_cont.csv,0.387,0.778,0.596,0.164,0.114,0.327,0.375,0.080,0.164,0.103,0.106,0.085,0.110,0.377,0.114,0.218,0.062,0.044,0.059,0.528
f_min.final_model.000.11.det_cont.csv,0.323,0.689,0.756,0.367,0.254,0.468,0.292,0.149,0.088,0.092,0.190,0.043,0.069,0.282,0.088,0.370,0.204,0.015,0.117,0.375
f_min.final_model.000.12.det_cont.csv,0.026,0.000,0.000,0.032,0.059,0.000,0.038,0.103,0.091,0.113,0.047,0.109,0.103,0.023,0.091,0.000,0.033,0.548,0.151,0.014
f_min.final_model.000.13.det_cont.csv,0.339,0.141,0.226,0.362,0.732,0.222,0.227,0.542,0.315,0.511,0.375,0.228,0.233,0.143,0.479,0.333,0.442,0.000,0.509,0.000
f_min.final_model.000.14.det_cont.csv,0.391,0.258,0.344,0.233,0.397,0.357,0.468,0.254,0.500,0.393,0.188,0.379,0.474,0.441,0.500,0.373,0.180,0.014,0.240,0.077
f_min.final_model.000.15.det_cont.csv,0.188,0.118,0.162,0.367,0.370,0.232,0.120,0.750,0.138,0.340,0.769,0.074,0.100,0.046,0.276,0.286,0.512,0.015,0.686,0.000
f_min.final_model.000.16.det_cont.csv,0.147,0.125,0.172,0.465,0.400,0.250,0.081,0.622,0.094,0.288,0.806,0.030,0.074,0.024,0.228,0.311,0.564,0.000,0.577,0.014
f_min.final_model.000.17.det_cont.csv,0.194,0.370,0.510,0.383,0.200,0.718,0.206,0.172,0.125,0.113,0.218,0.029,0.119,0.171,0.125,0.488,0.235,0.000,0.135,0.210
f_min.final_model.000.18.det_cont.csv,0.473,0.154,0.164,0.200,0.404,0.097,0.383,0.357,0.431,0.556,0.236,0.412,0.267,0.304,0.521,0.170,0.306,0.000,0.349,0.056
f_min.final_model.000.19.det_cont.csv,0.379,0.510,0.711,0.275,0.263,0.489,0.344,0.190,0.200,0.211,0.218,0.076,0.172,0.328,0.220,0.452,0.189,0.000,0.151,0.250
