 ,f_min.final_model.000.00.det_cont.csv,f_min.final_model.000.01.det_cont.csv,f_min.final_model.000.02.det_cont.csv,f_min.final_model.000.03.det_cont.csv,f_min.final_model.000.04.det_cont.csv,f_min.final_model.000.05.det_cont.csv,f_min.final_model.000.06.det_cont.csv,f_min.final_model.000.07.det_cont.csv,f_min.final_model.000.08.det_cont.csv,f_min.final_model.000.09.det_cont.csv,f_min.final_model.000.10.det_cont.csv,f_min.final_model.000.11.det_cont.csv,f_min.final_model.000.12.det_cont.csv,f_min.final_model.000.13.det_cont.csv,f_min.final_model.000.14.det_cont.csv,f_min.final_model.000.15.det_cont.csv,f_min.final_model.000.16.det_cont.csv,f_min.final_model.000.17.det_cont.csv,f_min.final_model.000.18.det_cont.csv,f_min.final_model.000.19.det_cont.csv
finalmodel.000.00.det_cont.csv,0.177,0.269,0.074,0.255,0.439,0.000,0.308,0.101,0.320,0.629,0.000,0.000,0.194,0.207,0.013,0.644,0.169,0.000,0.000,0.026
finalmodel.000.01.det_cont.csv,0.729,0.551,0.492,0.298,0.327,0.310,0.345,0.593,0.357,0.063,0.136,0.230,0.448,0.333,0.344,0.273,0.623,0.169,0.152,0.189
finalmodel.000.02.det_cont.csv,0.295,0.200,0.431,0.429,0.182,0.059,0.213,0.262,0.108,0.167,0.086,0.076,0.250,0.617,0.414,0.127,0.155,0.075,0.500,0.474
finalmodel.000.03.det_cont.csv,0.462,0.643,0.304,0.264,0.590,0.131,0.543,0.254,0.533,0.154,0.000,0.079,0.453,0.237,0.113,0.481,0.491,0.015,0.015,0.052
finalmodel.000.04.det_cont.csv,0.284,0.386,0.176,0.203,0.440,0.082,0.446,0.141,0.580,0.400,0.000,0.040,0.299,0.169,0.060,0.740,0.309,0.000,0.000,0.022
finalmodel.000.05.det_cont.csv,0.119,0.153,0.187,0.500,0.196,0.000,0.250,0.130,0.115,0.341,0.000,0.000,0.288,0.358,0.130,0.226,0.083,0.000,0.214,0.176
finalmodel.000.06.det_cont.csv,0.308,0.525,0.206,0.311,0.500,0.052,0.615,0.203,0.326,0.209,0.000,0.017,0.380,0.300,0.060,0.353,0.315,0.000,0.070,0.090
finalmodel.000.07.det_cont.csv,0.099,0.203,0.034,0.232,0.306,0.000,0.352,0.038,0.315,0.442,0.000,0.000,0.197,0.190,0.000,0.436,0.110,0.000,0.060,0.025
finalmodel.000.08.det_cont.csv,0.482,0.617,0.347,0.276,0.605,0.152,0.560,0.323,0.551,0.175,0.031,0.119,0.474,0.250,0.162,0.474,0.509,0.027,0.041,0.073
finalmodel.000.09.det_cont.csv,0.441,0.300,0.778,0.254,0.151,0.319,0.208,0.554,0.182,0.025,0.155,0.250,0.375,0.397,0.507,0.138,0.443,0.197,0.358,0.373
finalmodel.000.10.det_cont.csv,0.418,0.543,0.260,0.232,0.524,0.145,0.490,0.227,0.651,0.216,0.000,0.077,0.436,0.210,0.095,0.549,0.446,0.029,0.000,0.025
finalmodel.000.11.det_cont.csv,0.177,0.320,0.074,0.255,0.475,0.000,0.478,0.056,0.467,0.425,0.000,0.000,0.233,0.186,0.000,0.542,0.188,0.000,0.031,0.000
finalmodel.000.12.det_cont.csv,0.574,0.418,0.678,0.333,0.291,0.219,0.290,0.467,0.258,0.045,0.113,0.203,0.410,0.491,0.419,0.229,0.467,0.099,0.279,0.324
finalmodel.000.13.det_cont.csv,0.161,0.121,0.117,0.033,0.018,0.667,0.081,0.293,0.102,0.000,0.474,0.561,0.141,0.030,0.154,0.043,0.293,0.625,0.066,0.100
finalmodel.000.14.det_cont.csv,0.339,0.440,0.388,0.522,0.327,0.180,0.423,0.367,0.333,0.189,0.016,0.092,0.702,0.434,0.171,0.290,0.344,0.043,0.108,0.135
finalmodel.000.15.det_cont.csv,0.283,0.522,0.152,0.333,0.537,0.111,0.674,0.176,0.591,0.326,0.000,0.015,0.418,0.254,0.026,0.529,0.356,0.029,0.045,0.025
finalmodel.000.16.det_cont.csv,0.490,0.610,0.279,0.362,0.595,0.119,0.478,0.333,0.500,0.213,0.000,0.083,0.510,0.296,0.118,0.451,0.407,0.015,0.015,0.068
finalmodel.000.17.det_cont.csv,0.266,0.345,0.118,0.180,0.457,0.014,0.333,0.120,0.345,0.354,0.000,0.000,0.224,0.182,0.024,0.577,0.235,0.000,0.000,0.036
finalmodel.000.18.det_cont.csv,0.185,0.111,0.400,0.388,0.125,0.045,0.180,0.212,0.061,0.151,0.070,0.062,0.238,0.542,0.356,0.099,0.081,0.077,0.489,0.439
finalmodel.000.19.det_cont.csv,0.133,0.034,0.093,0.000,0.000,0.525,0.016,0.246,0.017,0.000,0.576,0.538,0.062,0.066,0.183,0.000,0.203,0.743,0.130,0.159
