 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb,model.000.15.pdb,model.000.16.pdb,model.000.17.pdb,model.000.18.pdb,model.000.19.pdb,model.000.20.pdb,model.000.21.pdb,model.000.22.pdb,model.000.23.pdb,model.000.24.pdb,model.000.25.pdb,model.000.26.pdb,model.000.27.pdb,model.000.28.pdb,model.000.29.pdb
model.000.00.pdb,0.738,0.531,0.000,0.475,0.000,0.000,0.000,0.468,0.628,0.000,0.500,0.630,0.000,0.578,0.000,0.500,0.353,0.000,0.000,0.500,0.182,0.000,0.000,0.000,0.034,0.000,0.625,0.000,0.605,0.000
model.000.01.pdb,0.421,0.537,0.014,0.696,0.030,0.027,0.000,0.540,0.625,0.000,0.480,0.482,0.000,0.580,0.057,0.537,0.351,0.000,0.013,0.566,0.141,0.000,0.000,0.000,0.015,0.030,0.509,0.000,0.400,0.000
model.000.02.pdb,0.000,0.079,0.727,0.026,0.514,0.000,0.000,0.107,0.000,0.000,0.000,0.015,0.000,0.000,0.595,0.079,0.000,0.000,0.107,0.079,0.000,0.226,0.486,0.000,0.293,0.200,0.014,0.036,0.000,0.032
model.000.03.pdb,0.000,0.000,0.000,0.000,0.018,0.140,0.763,0.000,0.000,0.658,0.000,0.000,0.319,0.000,0.000,0.000,0.000,0.164,0.031,0.000,0.016,0.302,0.093,0.590,0.000,0.018,0.000,0.386,0.000,0.478
model.000.04.pdb,0.000,0.000,0.016,0.000,0.055,0.065,0.511,0.000,0.000,0.561,0.000,0.000,0.167,0.000,0.000,0.000,0.000,0.121,0.175,0.000,0.000,0.400,0.154,0.340,0.000,0.135,0.000,0.632,0.000,0.408
model.000.05.pdb,0.365,0.553,0.088,0.466,0.074,0.000,0.000,0.861,0.478,0.000,0.231,0.352,0.000,0.380,0.164,0.521,0.175,0.000,0.047,0.553,0.016,0.000,0.017,0.000,0.055,0.073,0.357,0.000,0.264,0.000
model.000.06.pdb,0.453,0.756,0.133,0.492,0.016,0.000,0.000,0.698,0.574,0.000,0.296,0.463,0.000,0.442,0.167,0.717,0.237,0.000,0.014,0.756,0.078,0.000,0.000,0.000,0.123,0.016,0.464,0.000,0.352,0.000
model.000.07.pdb,0.153,0.111,0.000,0.139,0.000,0.260,0.032,0.016,0.161,0.017,0.326,0.167,0.071,0.245,0.000,0.094,0.524,0.127,0.000,0.111,0.579,0.000,0.000,0.053,0.000,0.000,0.197,0.000,0.208,0.048
model.000.08.pdb,0.000,0.000,0.000,0.000,0.000,0.169,0.919,0.000,0.000,0.634,0.000,0.000,0.347,0.000,0.000,0.000,0.014,0.193,0.061,0.000,0.031,0.281,0.068,0.571,0.000,0.033,0.000,0.354,0.000,0.500
model.000.09.pdb,0.440,0.609,0.033,0.564,0.017,0.031,0.000,0.659,0.769,0.000,0.444,0.480,0.000,0.628,0.066,0.644,0.333,0.000,0.015,0.682,0.085,0.000,0.000,0.000,0.035,0.017,0.540,0.000,0.388,0.000
