 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb,model.000.15.pdb,model.000.16.pdb,model.000.17.pdb,model.000.18.pdb,model.000.19.pdb,model.000.20.pdb,model.000.21.pdb,model.000.22.pdb,model.000.23.pdb,model.000.24.pdb,model.000.25.pdb,model.000.26.pdb,model.000.27.pdb,model.000.28.pdb,model.000.29.pdb
model.000.00.pdb,0.000,0.000,0.133,0.022,0.255,0.075,0.156,0.000,0.000,0.167,0.000,0.000,0.131,0.000,0.111,0.000,0.000,0.145,0.587,0.000,0.000,0.188,0.269,0.095,0.000,0.444,0.000,0.447,0.000,0.087
model.000.01.pdb,0.500,0.755,0.087,0.581,0.000,0.026,0.000,0.509,0.588,0.000,0.426,0.536,0.000,0.547,0.100,0.623,0.333,0.013,0.000,0.720,0.134,0.000,0.000,0.000,0.092,0.000,0.589,0.000,0.429,0.000
model.000.02.pdb,0.000,0.000,0.224,0.000,0.273,0.000,0.158,0.000,0.000,0.240,0.000,0.000,0.017,0.000,0.088,0.000,0.000,0.016,0.182,0.000,0.000,0.545,0.526,0.052,0.098,0.239,0.000,0.364,0.000,0.264
model.000.03.pdb,0.000,0.000,0.075,0.000,0.115,0.027,0.472,0.000,0.000,0.574,0.000,0.000,0.123,0.000,0.014,0.000,0.027,0.042,0.085,0.000,0.043,0.455,0.207,0.460,0.046,0.078,0.000,0.309,0.000,0.681
model.000.04.pdb,0.000,0.000,0.000,0.000,0.000,0.226,0.634,0.000,0.000,0.465,0.000,0.000,0.442,0.000,0.000,0.000,0.000,0.280,0.138,0.000,0.016,0.211,0.093,0.348,0.000,0.055,0.000,0.488,0.000,0.308
model.000.05.pdb,0.000,0.000,0.158,0.000,0.216,0.014,0.333,0.000,0.000,0.447,0.000,0.000,0.098,0.000,0.046,0.000,0.000,0.045,0.109,0.000,0.000,0.574,0.362,0.218,0.051,0.145,0.000,0.435,0.000,0.404
model.000.06.pdb,0.420,0.327,0.127,0.181,0.000,0.000,0.000,0.241,0.153,0.000,0.185,0.460,0.000,0.169,0.123,0.259,0.175,0.000,0.000,0.304,0.145,0.000,0.000,0.000,0.208,0.000,0.357,0.000,0.457,0.000
model.000.07.pdb,0.000,0.000,0.068,0.000,0.135,0.063,0.380,0.000,0.000,0.444,0.000,0.000,0.164,0.000,0.000,0.000,0.000,0.100,0.214,0.000,0.000,0.392,0.245,0.208,0.035,0.200,0.000,0.615,0.000,0.346
model.000.08.pdb,0.074,0.172,0.600,0.036,0.224,0.000,0.000,0.131,0.014,0.000,0.000,0.103,0.000,0.029,0.404,0.136,0.000,0.000,0.015,0.154,0.000,0.200,0.240,0.000,0.622,0.034,0.083,0.016,0.078,0.044
model.000.09.pdb,0.246,0.361,0.075,0.484,0.133,0.000,0.000,0.540,0.368,0.000,0.194,0.239,0.000,0.295,0.213,0.431,0.132,0.000,0.116,0.361,0.014,0.000,0.045,0.000,0.000,0.150,0.246,0.000,0.185,0.000
model.000.10.pdb,0.000,0.000,0.000,0.000,0.017,0.113,0.690,0.000,0.000,0.718,0.000,0.000,0.245,0.000,0.000,0.000,0.000,0.153,0.045,0.000,0.015,0.352,0.086,0.535,0.000,0.033,0.000,0.413,0.000,0.532
model.000.11.pdb,0.014,0.104,0.500,0.075,0.513,0.000,0.000,0.153,0.030,0.000,0.000,0.000,0.000,0.000,0.585,0.072,0.000,0.000,0.133,0.088,0.000,0.203,0.386,0.000,0.180,0.224,0.013,0.016,0.000,0.029
