 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb,model.000.15.pdb,model.000.16.pdb,model.000.17.pdb,model.000.18.pdb,model.000.19.pdb,model.000.20.pdb,model.000.21.pdb,model.000.22.pdb,model.000.23.pdb,model.000.24.pdb,model.000.25.pdb,model.000.26.pdb,model.000.27.pdb,model.000.28.pdb,model.000.29.pdb
model.000.00.pdb,0.490,0.658,0.304,0.067,0.148,0.091,0.069,0.476,0.400,0.000,0.000,0.211,0.525,0.037,0.050,0.123,0.488,0.333,0.385,0.676,0.000,0.000,0.000,0.000,0.413,0.246,0.245,0.000,0.000,0.000
model.000.01.pdb,0.000,0.000,0.000,0.031,0.000,0.000,0.039,0.000,0.000,0.471,0.298,0.000,0.000,0.133,0.083,0.056,0.000,0.014,0.000,0.000,0.295,0.316,0.098,0.286,0.000,0.000,0.015,0.333,0.417,0.489
model.000.02.pdb,0.135,0.233,0.500,0.154,0.025,0.224,0.023,0.141,0.104,0.024,0.025,0.067,0.241,0.146,0.088,0.151,0.172,0.122,0.137,0.217,0.023,0.037,0.070,0.034,0.169,0.123,0.055,0.000,0.013,0.000
model.000.03.pdb,0.609,0.641,0.156,0.016,0.203,0.034,0.083,0.658,0.641,0.000,0.043,0.400,0.378,0.050,0.016,0.088,0.625,0.521,0.553,0.658,0.040,0.000,0.000,0.039,0.375,0.333,0.489,0.000,0.000,0.000
model.000.04.pdb,0.000,0.000,0.000,0.000,0.000,0.000,0.013,0.000,0.000,0.345,0.304,0.061,0.000,0.151,0.032,0.072,0.000,0.043,0.043,0.000,0.368,0.298,0.031,0.311,0.000,0.043,0.098,0.218,0.340,0.683
model.000.05.pdb,0.254,0.333,0.088,0.016,0.479,0.034,0.279,0.465,0.524,0.000,0.000,0.167,0.292,0.000,0.032,0.000,0.354,0.177,0.237,0.400,0.000,0.000,0.000,0.000,0.347,0.091,0.218,0.063,0.000,0.015
model.000.06.pdb,0.271,0.354,0.119,0.048,0.565,0.051,0.295,0.488,0.548,0.000,0.000,0.164,0.340,0.000,0.083,0.000,0.375,0.194,0.254,0.422,0.000,0.000,0.000,0.000,0.396,0.090,0.193,0.046,0.000,0.000
model.000.07.pdb,0.000,0.000,0.039,0.164,0.000,0.098,0.050,0.000,0.000,0.404,0.145,0.000,0.000,0.047,0.148,0.039,0.000,0.000,0.000,0.000,0.135,0.212,0.412,0.132,0.000,0.000,0.000,0.197,0.217,0.154
model.000.08.pdb,0.317,0.380,0.162,0.077,0.583,0.065,0.297,0.545,0.533,0.000,0.000,0.190,0.367,0.000,0.095,0.000,0.373,0.238,0.300,0.447,0.000,0.000,0.000,0.000,0.392,0.116,0.220,0.059,0.000,0.000
model.000.09.pdb,0.024,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.410,0.574,0.093,0.000,0.391,0.000,0.211,0.000,0.062,0.062,0.000,0.667,0.536,0.000,0.586,0.000,0.077,0.129,0.097,0.519,0.421
model.000.10.pdb,0.013,0.062,0.254,0.458,0.434,0.375,0.596,0.079,0.078,0.000,0.000,0.000,0.241,0.000,0.500,0.000,0.029,0.000,0.000,0.079,0.000,0.000,0.203,0.000,0.291,0.000,0.000,0.180,0.000,0.014
model.000.11.pdb,0.178,0.310,0.323,0.242,0.482,0.217,0.429,0.316,0.288,0.000,0.000,0.079,0.542,0.000,0.206,0.012,0.242,0.133,0.149,0.293,0.000,0.000,0.068,0.000,0.529,0.063,0.113,0.129,0.000,0.000
model.000.12.pdb,0.219,0.333,0.200,0.190,0.500,0.182,0.367,0.367,0.360,0.000,0.000,0.088,0.435,0.000,0.193,0.000,0.232,0.149,0.167,0.367,0.000,0.000,0.045,0.000,0.556,0.056,0.127,0.092,0.000,0.000
model.000.13.pdb,0.609,0.684,0.194,0.016,0.224,0.034,0.099,0.615,0.600,0.000,0.028,0.321,0.442,0.063,0.016,0.138,0.625,0.431,0.521,0.853,0.026,0.000,0.000,0.026,0.404,0.309,0.367,0.000,0.000,0.000
