 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb,model.000.15.pdb,model.000.16.pdb,model.000.17.pdb,model.000.18.pdb,model.000.19.pdb,model.000.20.pdb,model.000.21.pdb,model.000.22.pdb,model.000.23.pdb,model.000.24.pdb,model.000.25.pdb,model.000.26.pdb,model.000.27.pdb,model.000.28.pdb,model.000.29.pdb
model.000.00.pdb,0.000,0.271,0.739,0.267,0.420,0.000,0.321,0.339,0.000,0.024,0.143,0.654,0.042,0.000,0.141,0.026,0.148,0.117,0.627,0.092,0.052,0.304,0.625,0.000,0.149,0.025,0.543,0.236,0.000,0.681
model.000.01.pdb,0.000,0.354,0.591,0.320,0.649,0.000,0.579,0.585,0.029,0.056,0.238,0.407,0.000,0.000,0.203,0.014,0.091,0.018,0.460,0.000,0.000,0.370,0.417,0.000,0.154,0.074,0.848,0.415,0.000,0.468
model.000.02.pdb,0.000,0.154,0.159,0.118,0.340,0.000,0.429,0.389,0.174,0.049,0.492,0.117,0.000,0.000,0.473,0.053,0.000,0.000,0.137,0.000,0.000,0.106,0.164,0.013,0.288,0.482,0.246,0.511,0.022,0.162
model.000.03.pdb,0.062,0.082,0.014,0.081,0.069,0.000,0.052,0.100,0.600,0.188,0.097,0.000,0.000,0.015,0.108,0.000,0.017,0.000,0.000,0.000,0.000,0.016,0.000,0.145,0.027,0.233,0.016,0.093,0.149,0.000
model.000.04.pdb,0.000,0.600,0.167,0.622,0.153,0.000,0.081,0.263,0.345,0.464,0.024,0.258,0.000,0.000,0.013,0.000,0.396,0.000,0.212,0.000,0.000,0.458,0.136,0.262,0.000,0.039,0.193,0.066,0.282,0.134
model.000.05.pdb,0.000,0.051,0.031,0.050,0.137,0.000,0.118,0.127,0.333,0.075,0.210,0.014,0.000,0.000,0.193,0.000,0.000,0.000,0.000,0.000,0.000,0.034,0.000,0.047,0.059,0.373,0.036,0.196,0.052,0.000
model.000.06.pdb,0.052,0.317,0.077,0.333,0.071,0.012,0.014,0.145,0.604,0.561,0.011,0.111,0.000,0.026,0.024,0.000,0.213,0.000,0.101,0.000,0.000,0.222,0.025,0.400,0.000,0.074,0.071,0.043,0.361,0.037
model.000.07.pdb,0.000,0.488,0.533,0.477,0.429,0.000,0.372,0.455,0.014,0.088,0.132,0.596,0.000,0.000,0.111,0.000,0.204,0.018,0.532,0.000,0.000,0.512,0.457,0.015,0.057,0.014,0.622,0.239,0.012,0.478
model.000.08.pdb,0.000,0.512,0.489,0.467,0.419,0.000,0.304,0.413,0.014,0.119,0.099,0.652,0.000,0.000,0.092,0.000,0.277,0.056,0.587,0.000,0.000,0.615,0.417,0.014,0.042,0.000,0.564,0.208,0.037,0.438
model.000.09.pdb,0.426,0.000,0.000,0.000,0.000,0.345,0.000,0.000,0.013,0.024,0.011,0.000,0.233,0.596,0.000,0.212,0.000,0.063,0.000,0.431,0.286,0.000,0.000,0.067,0.037,0.012,0.000,0.000,0.106,0.000
model.000.10.pdb,0.226,0.000,0.053,0.000,0.000,0.283,0.000,0.000,0.000,0.012,0.000,0.076,0.404,0.345,0.000,0.179,0.015,0.269,0.065,0.745,0.509,0.000,0.055,0.026,0.091,0.000,0.000,0.000,0.045,0.099
model.000.11.pdb,0.000,0.145,0.407,0.143,0.196,0.057,0.200,0.127,0.000,0.066,0.077,0.547,0.148,0.000,0.069,0.013,0.269,0.286,0.519,0.145,0.116,0.190,0.423,0.000,0.110,0.000,0.264,0.123,0.059,0.531
model.000.12.pdb,0.000,0.340,0.308,0.280,0.595,0.000,0.415,0.615,0.078,0.090,0.246,0.276,0.000,0.000,0.232,0.000,0.036,0.000,0.291,0.000,0.000,0.326,0.222,0.000,0.123,0.164,0.439,0.514,0.012,0.218
model.000.13.pdb,0.087,0.000,0.084,0.000,0.025,0.158,0.067,0.024,0.000,0.000,0.140,0.079,0.273,0.133,0.152,0.385,0.013,0.222,0.094,0.550,0.358,0.000,0.086,0.000,0.284,0.094,0.038,0.068,0.000,0.127
model.000.14.pdb,0.117,0.102,0.014,0.100,0.052,0.030,0.034,0.066,0.614,0.250,0.054,0.000,0.000,0.066,0.060,0.000,0.053,0.000,0.000,0.000,0.000,0.016,0.000,0.250,0.000,0.159,0.017,0.074,0.200,0.000
model.000.15.pdb,0.041,0.000,0.159,0.000,0.092,0.054,0.129,0.071,0.000,0.000,0.158,0.147,0.194,0.056,0.157,0.356,0.000,0.136,0.122,0.339,0.191,0.000,0.147,0.000,0.349,0.107,0.109,0.153,0.000,0.197
