 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb,model.000.15.pdb,model.000.16.pdb,model.000.17.pdb,model.000.18.pdb,model.000.19.pdb,model.000.20.pdb,model.000.21.pdb,model.000.22.pdb,model.000.23.pdb,model.000.24.pdb,model.000.25.pdb,model.000.26.pdb,model.000.27.pdb,model.000.28.pdb,model.000.29.pdb
model.000.00.pdb,0.241,0.431,0.014,0.435,0.053,0.000,0.000,0.000,0.447,0.426,0.500,0.048,0.524,0.625,0.045,0.000,0.027,0.000,0.000,0.426,0.360,0.000,0.000,0.683,0.000,0.000,0.232,0.469,0.558,0.000
model.000.01.pdb,0.271,0.542,0.025,0.276,0.046,0.000,0.012,0.014,0.434,0.442,0.600,0.088,0.600,0.564,0.040,0.014,0.062,0.000,0.051,0.518,0.407,0.000,0.013,0.540,0.000,0.028,0.149,0.509,0.589,0.000
model.000.02.pdb,0.250,0.027,0.545,0.000,0.325,0.123,0.046,0.583,0.000,0.000,0.048,0.405,0.000,0.060,0.500,0.224,0.667,0.148,0.659,0.094,0.151,0.000,0.548,0.000,0.000,0.137,0.000,0.000,0.072,0.000
model.000.03.pdb,0.000,0.000,0.000,0.000,0.000,0.115,0.108,0.052,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.049,0.000,0.320,0.000,0.000,0.000,0.429,0.000,0.000,0.725,0.051,0.000,0.000,0.000,0.600
model.000.04.pdb,0.000,0.000,0.000,0.000,0.000,0.302,0.259,0.088,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.182,0.014,0.558,0.014,0.000,0.000,0.525,0.000,0.000,0.522,0.212,0.000,0.000,0.000,0.327
model.000.05.pdb,0.477,0.528,0.090,0.143,0.115,0.000,0.043,0.051,0.222,0.204,0.458,0.185,0.348,0.490,0.133,0.066,0.154,0.000,0.106,0.667,0.692,0.000,0.077,0.340,0.000,0.068,0.063,0.273,0.519,0.000
model.000.06.pdb,0.511,0.526,0.145,0.228,0.208,0.000,0.013,0.015,0.286,0.268,0.617,0.207,0.388,0.745,0.194,0.014,0.141,0.000,0.113,0.688,0.600,0.000,0.118,0.460,0.000,0.015,0.090,0.333,0.667,0.000
model.000.07.pdb,0.000,0.054,0.000,0.220,0.000,0.000,0.000,0.000,0.312,0.348,0.136,0.000,0.255,0.106,0.000,0.000,0.000,0.000,0.000,0.014,0.000,0.000,0.000,0.185,0.031,0.000,0.422,0.314,0.152,0.069
model.000.08.pdb,0.000,0.000,0.000,0.000,0.000,0.143,0.152,0.032,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.062,0.000,0.296,0.000,0.000,0.000,0.488,0.000,0.000,0.659,0.065,0.014,0.000,0.000,0.619
model.000.09.pdb,0.320,0.519,0.042,0.226,0.073,0.000,0.014,0.000,0.396,0.404,0.614,0.102,0.575,0.571,0.078,0.015,0.070,0.000,0.042,0.520,0.489,0.000,0.029,0.581,0.000,0.016,0.097,0.479,0.633,0.000
model.000.10.pdb,0.000,0.038,0.000,0.083,0.000,0.014,0.057,0.000,0.175,0.200,0.092,0.000,0.105,0.041,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.088,0.000,0.115,0.060,0.000,0.133,0.203,0.081,0.138
model.000.11.pdb,0.000,0.000,0.149,0.000,0.088,0.123,0.055,0.320,0.000,0.000,0.000,0.062,0.000,0.000,0.143,0.131,0.162,0.449,0.167,0.000,0.000,0.226,0.121,0.000,0.451,0.081,0.000,0.000,0.000,0.232
model.000.12.pdb,0.115,0.312,0.000,0.367,0.017,0.000,0.000,0.000,0.605,0.700,0.460,0.015,0.667,0.411,0.014,0.000,0.000,0.000,0.000,0.279,0.211,0.000,0.000,0.667,0.000,0.000,0.228,0.738,0.519,0.000
model.000.13.pdb,0.123,0.236,0.038,0.600,0.065,0.000,0.000,0.000,0.609,0.521,0.418,0.043,0.522,0.424,0.056,0.000,0.000,0.000,0.000,0.258,0.194,0.000,0.026,0.596,0.000,0.000,0.316,0.500,0.475,0.000
model.000.14.pdb,0.000,0.000,0.068,0.014,0.032,0.071,0.039,0.172,0.000,0.000,0.000,0.014,0.000,0.000,0.057,0.060,0.066,0.304,0.097,0.000,0.000,0.155,0.027,0.000,0.520,0.045,0.074,0.000,0.000,0.291
model.000.15.pdb,0.151,0.013,0.408,0.000,0.227,0.161,0.045,0.657,0.000,0.000,0.031,0.304,0.000,0.029,0.422,0.245,0.511,0.286,0.533,0.044,0.088,0.056,0.404,0.000,0.082,0.157,0.000,0.000,0.027,0.000
model.000.16.pdb,0.420,0.526,0.129,0.167,0.185,0.000,0.000,0.015,0.286,0.340,0.520,0.167,0.447,0.608,0.156,0.000,0.095,0.000,0.068,0.620,0.565,0.000,0.101,0.490,0.000,0.000,0.043,0.382,0.700,0.000
model.000.17.pdb,0.030,0.197,0.013,0.015,0.000,0.404,0.604,0.031,0.014,0.045,0.028,0.015,0.031,0.039,0.000,0.380,0.053,0.145,0.041,0.162,0.045,0.140,0.014,0.044,0.057,0.426,0.000,0.042,0.037,0.030
model.000.18.pdb,0.077,0.000,0.391,0.000,0.256,0.091,0.016,0.710,0.000,0.000,0.017,0.222,0.000,0.031,0.372,0.143,0.375,0.234,0.362,0.031,0.036,0.000,0.356,0.000,0.052,0.059,0.000,0.000,0.029,0.000
model.000.19.pdb,0.018,0.000,0.204,0.000,0.111,0.151,0.048,0.500,0.000,0.000,0.000,0.098,0.000,0.000,0.224,0.188,0.264,0.513,0.275,0.000,0.000,0.128,0.192,0.000,0.192,0.100,0.000,0.000,0.000,0.036
model.000.20.pdb,0.193,0.254,0.056,0.595,0.109,0.000,0.000,0.000,0.468,0.360,0.490,0.081,0.477,0.549,0.076,0.000,0.000,0.000,0.000,0.300,0.255,0.000,0.043,0.556,0.000,0.000,0.346,0.431,0.464,0.000
model.000.21.pdb,0.132,0.027,0.388,0.000,0.178,0.208,0.133,0.583,0.000,0.000,0.000,0.283,0.000,0.000,0.370,0.364,0.556,0.170,0.545,0.029,0.070,0.000,0.383,0.000,0.000,0.261,0.000,0.000,0.000,0.000
model.000.22.pdb,0.000,0.143,0.000,0.000,0.000,0.062,0.200,0.000,0.102,0.164,0.062,0.000,0.173,0.056,0.000,0.000,0.000,0.000,0.000,0.088,0.048,0.111,0.000,0.138,0.015,0.016,0.000,0.150,0.114,0.032
model.000.23.pdb,0.000,0.000,0.000,0.000,0.000,0.113,0.090,0.069,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.048,0.000,0.314,0.000,0.000,0.000,0.356,0.000,0.000,0.842,0.050,0.047,0.000,0.000,0.585
model.000.24.pdb,0.033,0.013,0.164,0.000,0.018,0.396,0.224,0.333,0.000,0.000,0.000,0.051,0.000,0.000,0.138,0.500,0.237,0.548,0.224,0.000,0.016,0.204,0.153,0.000,0.153,0.386,0.000,0.000,0.000,0.033
model.000.25.pdb,0.000,0.000,0.000,0.000,0.000,0.103,0.097,0.015,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.044,0.000,0.217,0.013,0.000,0.000,0.314,0.000,0.000,0.652,0.045,0.043,0.000,0.000,0.651
model.000.26.pdb,0.000,0.013,0.000,0.000,0.000,0.131,0.281,0.000,0.015,0.032,0.014,0.000,0.016,0.000,0.000,0.016,0.000,0.047,0.000,0.014,0.000,0.245,0.000,0.015,0.129,0.033,0.031,0.029,0.013,0.226
model.000.27.pdb,0.250,0.038,0.587,0.000,0.349,0.150,0.090,0.512,0.000,0.000,0.061,0.455,0.000,0.070,0.545,0.250,0.667,0.136,0.622,0.103,0.158,0.000,0.591,0.000,0.000,0.189,0.000,0.000,0.082,0.000
model.000.28.pdb,0.000,0.000,0.000,0.016,0.000,0.045,0.159,0.000,0.048,0.032,0.014,0.000,0.016,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.173,0.000,0.015,0.111,0.000,0.098,0.061,0.013,0.226
model.000.29.pdb,0.000,0.013,0.000,0.000,0.000,0.083,0.211,0.000,0.016,0.017,0.015,0.000,0.018,0.000,0.000,0.017,0.000,0.033,0.000,0.014,0.000,0.267,0.000,0.016,0.158,0.017,0.016,0.015,0.014,0.245
