 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb,model.000.15.pdb,model.000.16.pdb,model.000.17.pdb,model.000.18.pdb,model.000.19.pdb,model.000.20.pdb,model.000.21.pdb,model.000.22.pdb,model.000.23.pdb,model.000.24.pdb,model.000.25.pdb,model.000.26.pdb,model.000.27.pdb,model.000.28.pdb,model.000.29.pdb
model.000.00.pdb,0.477,0.180,0.469,0.281,0.020,0.290,0.034,0.029,0.482,0.032,0.000,0.286,0.125,0.022,0.000,0.306,0.020,0.591,0.469,0.000,0.316,0.000,0.000,0.354,0.193,0.077,0.075,0.032,0.143,0.000
model.000.01.pdb,0.000,0.141,0.000,0.000,0.493,0.000,0.333,0.367,0.000,0.463,0.290,0.083,0.043,0.371,0.333,0.000,0.451,0.000,0.000,0.589,0.000,0.551,0.344,0.072,0.000,0.269,0.074,0.260,0.000,0.409
model.000.02.pdb,0.196,0.097,0.417,0.095,0.032,0.134,0.036,0.062,0.717,0.011,0.000,0.536,0.015,0.046,0.000,0.132,0.032,0.347,0.511,0.000,0.291,0.000,0.000,0.647,0.123,0.026,0.193,0.034,0.015,0.000
model.000.03.pdb,0.425,0.778,0.032,0.204,0.033,0.125,0.000,0.042,0.103,0.219,0.143,0.051,0.255,0.061,0.019,0.400,0.044,0.192,0.103,0.067,0.047,0.081,0.000,0.143,0.000,0.462,0.000,0.128,0.164,0.037
model.000.04.pdb,0.048,0.333,0.000,0.014,0.275,0.013,0.247,0.354,0.000,0.540,0.419,0.011,0.220,0.397,0.167,0.067,0.291,0.000,0.000,0.397,0.000,0.339,0.209,0.048,0.000,0.500,0.059,0.412,0.108,0.278
model.000.05.pdb,0.317,0.132,0.433,0.500,0.027,0.593,0.050,0.071,0.406,0.037,0.085,0.169,0.246,0.079,0.000,0.322,0.036,0.500,0.458,0.020,0.508,0.000,0.022,0.214,0.302,0.065,0.024,0.078,0.344,0.029
model.000.06.pdb,0.167,0.045,0.296,0.420,0.042,0.592,0.072,0.071,0.286,0.033,0.075,0.073,0.167,0.107,0.000,0.170,0.053,0.388,0.373,0.024,0.553,0.000,0.039,0.117,0.375,0.000,0.014,0.093,0.273,0.047
model.000.07.pdb,0.000,0.059,0.000,0.058,0.714,0.054,0.535,0.562,0.031,0.494,0.377,0.137,0.071,0.569,0.227,0.000,0.667,0.011,0.000,0.631,0.000,0.431,0.478,0.128,0.000,0.214,0.154,0.443,0.047,0.507
model.000.08.pdb,0.096,0.422,0.000,0.032,0.190,0.014,0.107,0.207,0.000,0.348,0.231,0.025,0.143,0.208,0.222,0.120,0.190,0.000,0.000,0.270,0.000,0.288,0.074,0.053,0.000,0.490,0.000,0.222,0.085,0.167
model.000.09.pdb,0.354,0.143,0.412,0.490,0.030,0.455,0.034,0.009,0.383,0.032,0.048,0.184,0.220,0.033,0.000,0.362,0.030,0.628,0.469,0.023,0.415,0.000,0.013,0.239,0.283,0.050,0.075,0.032,0.263,0.000
model.000.10.pdb,0.138,0.095,0.286,0.051,0.144,0.072,0.053,0.084,0.508,0.060,0.010,0.707,0.013,0.061,0.075,0.090,0.088,0.215,0.328,0.078,0.183,0.063,0.098,0.617,0.100,0.057,0.306,0.040,0.013,0.074
model.000.11.pdb,0.000,0.040,0.040,0.129,0.301,0.194,0.386,0.395,0.035,0.256,0.446,0.043,0.219,0.384,0.015,0.045,0.301,0.013,0.040,0.160,0.157,0.066,0.403,0.022,0.194,0.139,0.164,0.417,0.238,0.342
model.000.12.pdb,0.000,0.120,0.000,0.018,0.284,0.016,0.172,0.230,0.000,0.286,0.200,0.057,0.057,0.215,0.382,0.000,0.284,0.000,0.000,0.385,0.000,0.372,0.161,0.075,0.000,0.308,0.018,0.159,0.018,0.188
model.000.13.pdb,0.218,0.057,0.396,0.389,0.040,0.577,0.081,0.058,0.328,0.021,0.084,0.122,0.156,0.090,0.000,0.200,0.051,0.500,0.480,0.023,0.674,0.000,0.025,0.169,0.489,0.012,0.028,0.089,0.254,0.044
