 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb,model.000.15.pdb,model.000.16.pdb,model.000.17.pdb,model.000.18.pdb,model.000.19.pdb,model.000.20.pdb,model.000.21.pdb,model.000.22.pdb,model.000.23.pdb,model.000.24.pdb,model.000.25.pdb,model.000.26.pdb,model.000.27.pdb,model.000.28.pdb,model.000.29.pdb
model.000.00.pdb,0.053,0.000,0.186,0.155,0.012,0.267,0.000,0.027,0.200,0.136,0.281,0.143,0.020,0.279,0.417,0.014,0.000,0.215,0.122,0.231,0.188,0.234,0.246,0.023,0.000,0.136,0.171,0.014,0.179,0.033
model.000.01.pdb,0.012,0.121,0.617,0.023,0.000,0.155,0.053,0.000,0.135,0.553,0.692,0.097,0.102,0.135,0.423,0.000,0.045,0.700,0.043,0.194,0.098,0.328,0.740,0.056,0.000,0.054,0.035,0.000,0.000,0.075
model.000.02.pdb,0.424,0.025,0.012,0.600,0.338,0.047,0.239,0.300,0.034,0.000,0.116,0.571,0.365,0.057,0.155,0.308,0.068,0.069,0.559,0.033,0.677,0.022,0.092,0.397,0.082,0.606,0.600,0.222,0.194,0.440
model.000.03.pdb,0.136,0.194,0.139,0.068,0.090,0.467,0.036,0.187,0.579,0.129,0.133,0.009,0.096,0.552,0.127,0.137,0.101,0.138,0.106,0.559,0.029,0.338,0.120,0.053,0.185,0.130,0.033,0.265,0.130,0.060
model.000.04.pdb,0.024,0.190,0.481,0.023,0.022,0.107,0.066,0.000,0.104,0.480,0.459,0.108,0.135,0.090,0.250,0.000,0.145,0.483,0.053,0.145,0.052,0.265,0.492,0.056,0.059,0.031,0.035,0.000,0.000,0.098
model.000.05.pdb,0.013,0.098,0.438,0.025,0.000,0.056,0.074,0.000,0.055,0.375,0.528,0.145,0.122,0.041,0.288,0.000,0.033,0.529,0.058,0.113,0.146,0.219,0.600,0.074,0.000,0.058,0.066,0.000,0.000,0.094
model.000.06.pdb,0.082,0.231,0.171,0.044,0.066,0.467,0.024,0.141,0.607,0.162,0.160,0.000,0.075,0.579,0.143,0.064,0.101,0.167,0.083,0.559,0.019,0.379,0.148,0.042,0.149,0.083,0.022,0.194,0.164,0.039
model.000.07.pdb,0.203,0.180,0.000,0.074,0.226,0.047,0.182,0.388,0.078,0.000,0.000,0.087,0.134,0.078,0.000,0.348,0.279,0.000,0.107,0.109,0.089,0.014,0.000,0.179,0.514,0.153,0.123,0.354,0.018,0.133
model.000.08.pdb,0.122,0.246,0.000,0.049,0.100,0.197,0.085,0.194,0.306,0.014,0.012,0.031,0.094,0.266,0.000,0.138,0.196,0.025,0.092,0.297,0.032,0.171,0.000,0.096,0.333,0.092,0.049,0.283,0.150,0.066
model.000.09.pdb,0.000,0.298,0.167,0.000,0.099,0.015,0.098,0.014,0.044,0.224,0.119,0.072,0.092,0.044,0.000,0.016,0.295,0.125,0.000,0.090,0.023,0.180,0.121,0.066,0.137,0.000,0.000,0.000,0.000,0.074
model.000.10.pdb,0.509,0.046,0.000,0.390,0.518,0.027,0.276,0.540,0.040,0.000,0.000,0.280,0.342,0.026,0.000,0.732,0.123,0.000,0.415,0.000,0.338,0.000,0.000,0.397,0.182,0.415,0.367,0.480,0.222,0.424
model.000.11.pdb,0.672,0.034,0.011,0.600,0.390,0.077,0.231,0.435,0.087,0.011,0.020,0.341,0.363,0.087,0.023,0.431,0.089,0.031,0.562,0.052,0.463,0.000,0.010,0.392,0.130,0.583,0.486,0.412,0.375,0.415
model.000.12.pdb,0.049,0.233,0.226,0.023,0.034,0.577,0.000,0.092,0.714,0.217,0.205,0.000,0.049,0.680,0.156,0.027,0.077,0.214,0.065,0.654,0.010,0.545,0.192,0.022,0.109,0.065,0.011,0.111,0.108,0.000
model.000.13.pdb,0.022,0.145,0.761,0.022,0.011,0.243,0.062,0.000,0.219,0.696,0.788,0.092,0.108,0.219,0.436,0.000,0.042,0.765,0.051,0.264,0.093,0.429,0.804,0.065,0.000,0.040,0.045,0.000,0.000,0.061
model.000.14.pdb,0.000,0.093,0.271,0.000,0.027,0.000,0.161,0.015,0.015,0.289,0.281,0.145,0.163,0.015,0.093,0.000,0.078,0.273,0.025,0.060,0.117,0.148,0.333,0.097,0.018,0.064,0.058,0.000,0.000,0.149
model.000.15.pdb,0.022,0.206,0.680,0.021,0.010,0.385,0.023,0.000,0.353,0.620,0.627,0.048,0.084,0.353,0.414,0.000,0.054,0.632,0.060,0.403,0.048,0.603,0.638,0.041,0.013,0.029,0.043,0.011,0.039,0.029
model.000.16.pdb,0.049,0.233,0.246,0.035,0.034,0.519,0.000,0.051,0.714,0.237,0.222,0.010,0.038,0.615,0.138,0.000,0.061,0.232,0.054,0.720,0.020,0.574,0.208,0.022,0.076,0.077,0.023,0.067,0.091,0.000
model.000.17.pdb,0.011,0.182,0.633,0.022,0.000,0.178,0.063,0.000,0.173,0.571,0.673,0.104,0.109,0.173,0.368,0.000,0.072,0.679,0.062,0.233,0.105,0.369,0.685,0.065,0.000,0.052,0.045,0.000,0.000,0.083
model.000.18.pdb,0.000,0.000,0.354,0.027,0.000,0.127,0.045,0.000,0.090,0.240,0.510,0.123,0.054,0.106,0.575,0.000,0.000,0.396,0.024,0.087,0.139,0.121,0.490,0.025,0.000,0.061,0.069,0.000,0.017,0.060
model.000.19.pdb,0.012,0.029,0.565,0.000,0.000,0.182,0.041,0.000,0.143,0.468,0.714,0.101,0.083,0.143,0.591,0.000,0.000,0.558,0.022,0.139,0.102,0.266,0.694,0.023,0.000,0.033,0.037,0.000,0.000,0.055
model.000.20.pdb,0.037,0.291,0.217,0.012,0.035,0.549,0.027,0.096,0.653,0.207,0.197,0.000,0.050,0.620,0.145,0.057,0.117,0.206,0.056,0.660,0.000,0.491,0.183,0.046,0.133,0.056,0.012,0.116,0.113,0.021
model.000.21.pdb,0.366,0.024,0.061,0.435,0.342,0.022,0.422,0.270,0.011,0.050,0.151,0.662,0.506,0.022,0.104,0.257,0.080,0.103,0.434,0.010,0.600,0.000,0.126,0.500,0.079,0.514,0.500,0.182,0.107,0.542
model.000.22.pdb,0.033,0.239,0.574,0.043,0.010,0.300,0.023,0.000,0.274,0.547,0.617,0.078,0.104,0.257,0.407,0.000,0.082,0.709,0.081,0.301,0.078,0.469,0.627,0.040,0.039,0.039,0.054,0.000,0.000,0.048
model.000.23.pdb,0.022,0.162,0.620,0.022,0.021,0.145,0.090,0.000,0.127,0.592,0.603,0.103,0.141,0.127,0.339,0.000,0.103,0.607,0.040,0.167,0.082,0.304,0.643,0.076,0.027,0.051,0.045,0.000,0.000,0.094
model.000.24.pdb,0.072,0.167,0.179,0.034,0.033,0.518,0.000,0.103,0.673,0.169,0.167,0.000,0.047,0.554,0.149,0.067,0.058,0.173,0.063,0.534,0.010,0.419,0.154,0.021,0.104,0.086,0.011,0.169,0.154,0.000
model.000.25.pdb,0.509,0.014,0.000,0.419,0.300,0.079,0.067,0.431,0.105,0.000,0.000,0.186,0.187,0.105,0.028,0.375,0.061,0.000,0.342,0.075,0.263,0.012,0.000,0.175,0.127,0.441,0.333,0.569,0.565,0.250
model.000.26.pdb,0.389,0.000,0.000,0.222,0.143,0.092,0.015,0.286,0.141,0.000,0.000,0.096,0.090,0.090,0.000,0.245,0.000,0.000,0.176,0.056,0.125,0.000,0.000,0.064,0.071,0.261,0.149,0.380,0.525,0.127
model.000.27.pdb,0.013,0.196,0.169,0.038,0.151,0.000,0.281,0.070,0.013,0.200,0.110,0.188,0.247,0.013,0.000,0.061,0.235,0.130,0.046,0.039,0.106,0.083,0.127,0.192,0.103,0.046,0.066,0.000,0.000,0.192
model.000.28.pdb,0.024,0.072,0.727,0.023,0.000,0.262,0.026,0.000,0.200,0.587,0.796,0.074,0.059,0.200,0.609,0.000,0.000,0.700,0.043,0.229,0.074,0.371,0.776,0.022,0.000,0.021,0.035,0.000,0.000,0.020
model.000.29.pdb,0.239,0.000,0.043,0.371,0.143,0.026,0.185,0.127,0.013,0.014,0.164,0.500,0.235,0.052,0.203,0.121,0.015,0.108,0.357,0.025,0.556,0.012,0.135,0.282,0.000,0.418,0.466,0.041,0.131,0.293
