 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb,model.000.15.pdb,model.000.16.pdb,model.000.17.pdb,model.000.18.pdb,model.000.19.pdb,model.000.20.pdb,model.000.21.pdb,model.000.22.pdb,model.000.23.pdb,model.000.24.pdb,model.000.25.pdb,model.000.26.pdb,model.000.27.pdb,model.000.28.pdb,model.000.29.pdb
model.000.00.pdb,0.038,0.219,0.175,0.091,0.040,0.169,0.015,0.000,0.000,0.064,0.179,0.320,0.000,0.049,0.056,0.131,0.059,0.250,0.211,0.071,0.241,0.657,0.014,0.147,0.148,0.145,0.283,0.242,0.200,0.016
model.000.01.pdb,0.048,0.714,0.667,0.034,0.000,0.630,0.469,0.138,0.119,0.035,0.104,0.500,0.170,0.082,0.558,0.074,0.079,0.134,0.250,0.467,0.625,0.231,0.000,0.826,0.031,0.037,0.694,0.153,0.182,0.000
model.000.02.pdb,0.397,0.082,0.048,0.556,0.333,0.000,0.026,0.028,0.014,0.386,0.022,0.067,0.000,0.429,0.023,0.677,0.444,0.024,0.000,0.072,0.075,0.180,0.232,0.057,0.646,0.550,0.096,0.034,0.036,0.279
model.000.03.pdb,0.011,0.139,0.117,0.091,0.154,0.157,0.000,0.000,0.043,0.044,0.820,0.130,0.015,0.032,0.101,0.070,0.052,0.519,0.397,0.000,0.120,0.111,0.037,0.084,0.071,0.022,0.099,0.508,0.527,0.169
model.000.04.pdb,0.100,0.491,0.473,0.022,0.000,0.490,0.698,0.340,0.288,0.071,0.075,0.327,0.400,0.094,0.708,0.052,0.078,0.100,0.169,0.367,0.411,0.066,0.026,0.635,0.042,0.075,0.474,0.120,0.113,0.000
model.000.05.pdb,0.067,0.510,0.490,0.051,0.000,0.417,0.477,0.157,0.113,0.051,0.026,0.327,0.170,0.104,0.451,0.106,0.099,0.045,0.133,0.595,0.479,0.118,0.000,0.604,0.070,0.054,0.583,0.070,0.076,0.000
model.000.06.pdb,0.000,0.169,0.132,0.067,0.084,0.191,0.013,0.000,0.091,0.033,0.685,0.147,0.062,0.021,0.115,0.039,0.041,0.491,0.473,0.000,0.120,0.111,0.025,0.111,0.050,0.011,0.127,0.508,0.556,0.101
model.000.07.pdb,0.091,0.000,0.000,0.154,0.327,0.000,0.000,0.000,0.085,0.104,0.207,0.000,0.022,0.100,0.000,0.117,0.095,0.052,0.034,0.000,0.000,0.000,0.216,0.000,0.151,0.129,0.000,0.079,0.068,0.410
model.000.08.pdb,0.037,0.013,0.013,0.061,0.191,0.043,0.000,0.000,0.105,0.062,0.464,0.000,0.035,0.047,0.013,0.054,0.057,0.237,0.220,0.000,0.014,0.000,0.072,0.013,0.091,0.038,0.000,0.231,0.250,0.175
model.000.09.pdb,0.121,0.127,0.098,0.000,0.000,0.192,0.405,0.559,0.606,0.070,0.043,0.073,0.750,0.068,0.333,0.000,0.064,0.033,0.107,0.152,0.083,0.000,0.085,0.203,0.000,0.014,0.129,0.045,0.102,0.000
model.000.10.pdb,0.350,0.000,0.000,0.474,0.625,0.000,0.000,0.053,0.017,0.297,0.068,0.000,0.000,0.303,0.000,0.418,0.286,0.014,0.000,0.000,0.000,0.000,0.365,0.000,0.431,0.362,0.000,0.013,0.059,0.600
model.000.11.pdb,0.392,0.031,0.032,0.582,0.493,0.000,0.011,0.038,0.025,0.400,0.074,0.011,0.000,0.403,0.010,0.603,0.366,0.057,0.000,0.012,0.022,0.039,0.274,0.020,0.554,0.485,0.010,0.076,0.044,0.387
model.000.12.pdb,0.000,0.217,0.176,0.059,0.050,0.250,0.029,0.000,0.082,0.011,0.735,0.200,0.069,0.011,0.157,0.010,0.021,0.689,0.667,0.000,0.164,0.164,0.000,0.151,0.031,0.012,0.169,0.694,0.773,0.045
model.000.13.pdb,0.034,0.816,0.700,0.033,0.000,0.633,0.426,0.145,0.127,0.033,0.184,0.510,0.196,0.102,0.654,0.082,0.074,0.227,0.333,0.420,0.627,0.190,0.012,0.780,0.040,0.047,0.692,0.239,0.258,0.000
model.000.14.pdb,0.091,0.278,0.275,0.042,0.015,0.224,0.541,0.342,0.214,0.042,0.014,0.118,0.343,0.167,0.435,0.075,0.141,0.000,0.053,0.500,0.260,0.021,0.033,0.327,0.037,0.029,0.308,0.015,0.050,0.000
model.000.15.pdb,0.022,0.643,0.600,0.021,0.000,0.660,0.333,0.121,0.138,0.032,0.310,0.509,0.186,0.053,0.534,0.048,0.040,0.377,0.509,0.276,0.536,0.180,0.012,0.559,0.029,0.045,0.596,0.379,0.410,0.000
model.000.16.pdb,0.000,0.235,0.194,0.047,0.037,0.271,0.059,0.031,0.100,0.011,0.667,0.220,0.088,0.011,0.191,0.020,0.021,0.652,0.667,0.000,0.164,0.143,0.000,0.167,0.042,0.024,0.186,0.596,0.660,0.014
model.000.17.pdb,0.058,0.692,0.647,0.044,0.000,0.646,0.434,0.167,0.167,0.045,0.141,0.434,0.222,0.103,0.635,0.082,0.087,0.176,0.295,0.458,0.608,0.193,0.000,0.833,0.040,0.047,0.673,0.192,0.224,0.000
model.000.18.pdb,0.013,0.431,0.380,0.026,0.000,0.306,0.173,0.038,0.019,0.013,0.088,0.419,0.041,0.080,0.228,0.098,0.076,0.102,0.123,0.310,0.523,0.559,0.000,0.377,0.060,0.028,0.565,0.091,0.117,0.000
model.000.19.pdb,0.000,0.633,0.551,0.000,0.000,0.511,0.283,0.069,0.033,0.012,0.125,0.545,0.074,0.060,0.375,0.066,0.057,0.161,0.183,0.409,0.682,0.364,0.000,0.569,0.044,0.025,0.681,0.145,0.156,0.000
model.000.20.pdb,0.000,0.209,0.167,0.036,0.066,0.241,0.030,0.000,0.105,0.012,0.708,0.190,0.073,0.011,0.164,0.000,0.011,0.698,0.600,0.000,0.154,0.151,0.014,0.141,0.011,0.000,0.159,0.633,0.744,0.081
model.000.21.pdb,0.508,0.118,0.096,0.485,0.267,0.012,0.137,0.149,0.027,0.515,0.011,0.051,0.028,0.635,0.095,0.556,0.646,0.012,0.000,0.185,0.113,0.087,0.333,0.105,0.507,0.500,0.133,0.033,0.011,0.227
model.000.22.pdb,0.055,0.691,0.679,0.042,0.000,0.714,0.350,0.136,0.172,0.065,0.221,0.528,0.203,0.052,0.525,0.058,0.040,0.288,0.377,0.271,0.582,0.217,0.000,0.691,0.069,0.080,0.586,0.314,0.299,0.000
model.000.23.pdb,0.082,0.618,0.635,0.033,0.000,0.569,0.638,0.268,0.203,0.044,0.098,0.453,0.314,0.115,0.755,0.071,0.086,0.125,0.212,0.449,0.566,0.150,0.025,0.780,0.040,0.047,0.600,0.143,0.153,0.000
model.000.24.pdb,0.000,0.176,0.153,0.045,0.087,0.200,0.014,0.000,0.030,0.011,0.692,0.172,0.016,0.011,0.120,0.030,0.021,0.612,0.500,0.000,0.157,0.155,0.000,0.115,0.020,0.000,0.132,0.536,0.620,0.090
model.000.25.pdb,0.160,0.000,0.000,0.364,0.474,0.000,0.000,0.000,0.000,0.156,0.076,0.000,0.000,0.165,0.000,0.347,0.157,0.070,0.000,0.000,0.000,0.049,0.167,0.000,0.356,0.288,0.000,0.064,0.068,0.489
model.000.26.pdb,0.056,0.000,0.000,0.215,0.327,0.000,0.000,0.000,0.000,0.054,0.104,0.000,0.000,0.066,0.000,0.216,0.062,0.083,0.000,0.000,0.000,0.019,0.065,0.000,0.173,0.156,0.000,0.059,0.081,0.311
model.000.27.pdb,0.231,0.116,0.123,0.064,0.055,0.115,0.444,0.686,0.341,0.171,0.013,0.032,0.528,0.214,0.345,0.044,0.203,0.000,0.030,0.255,0.092,0.000,0.228,0.185,0.045,0.083,0.152,0.013,0.029,0.000
model.000.28.pdb,0.024,0.750,0.667,0.023,0.000,0.630,0.309,0.082,0.065,0.035,0.164,0.674,0.107,0.034,0.473,0.063,0.032,0.226,0.293,0.347,0.696,0.333,0.000,0.615,0.053,0.049,0.766,0.221,0.219,0.000
model.000.29.pdb,0.292,0.125,0.085,0.381,0.157,0.014,0.062,0.068,0.000,0.323,0.000,0.095,0.000,0.348,0.054,0.463,0.368,0.028,0.000,0.167,0.103,0.220,0.121,0.095,0.455,0.439,0.159,0.039,0.000,0.063
